Teff,logg,m_h
3500.0,0.0,-5.0
3500.0,0.5,-5.0
3500.0,1.0,-5.0
3500.0,1.5,-5.0
3500.0,2.0,-5.0
3500.0,2.5,-5.0
3500.0,3.0,-5.0
3750.0,0.0,-5.0
3750.0,0.5,-5.0
3750.0,1.0,-5.0
3750.0,1.5,-5.0
3750.0,2.0,-5.0
3750.0,2.5,-5.0
3750.0,3.0,-5.0
4000.0,0.0,-5.0
4000.0,0.5,-5.0
4000.0,1.0,-5.0
4000.0,1.5,-5.0
4000.0,2.0,-5.0
4000.0,2.5,-5.0
4000.0,3.0,-5.0
4000.0,3.5,-5.0
4250.0,0.0,-5.0
4250.0,0.5,-5.0
4250.0,1.0,-5.0
4250.0,1.5,-5.0
4250.0,2.0,-5.0
4250.0,2.5,-5.0
4250.0,3.0,-5.0
4250.0,3.5,-5.0
4250.0,4.0,-5.0
4500.0,0.0,-5.0
4500.0,0.5,-5.0
4500.0,1.0,-5.0
4500.0,1.5,-5.0
4500.0,2.0,-5.0
4500.0,2.5,-5.0
4500.0,3.0,-5.0
4500.0,3.5,-5.0
4500.0,4.0,-5.0
4750.0,0.0,-5.0
4750.0,0.5,-5.0
4750.0,1.0,-5.0
4750.0,1.5,-5.0
4750.0,2.0,-5.0
4750.0,2.5,-5.0
4750.0,3.0,-5.0
4750.0,3.5,-5.0
4750.0,4.0,-5.0
4750.0,4.5,-5.0
5000.0,0.0,-5.0
5000.0,0.5,-5.0
5000.0,1.0,-5.0
5000.0,1.5,-5.0
5000.0,2.0,-5.0
5000.0,2.5,-5.0
5000.0,3.0,-5.0
5000.0,3.5,-5.0
5000.0,4.0,-5.0
5000.0,4.5,-5.0
5000.0,5.0,-5.0
5250.0,0.0,-5.0
5250.0,0.5,-5.0
5250.0,1.0,-5.0
5250.0,1.5,-5.0
5250.0,2.0,-5.0
5250.0,2.5,-5.0
5250.0,3.0,-5.0
5250.0,3.5,-5.0
5250.0,4.0,-5.0
5250.0,4.5,-5.0
5250.0,5.0,-5.0
5500.0,0.0,-5.0
5500.0,0.5,-5.0
5500.0,1.0,-5.0
5500.0,1.5,-5.0
5500.0,2.0,-5.0
5500.0,2.5,-5.0
5500.0,3.0,-5.0
5500.0,3.5,-5.0
5500.0,4.0,-5.0
5500.0,4.5,-5.0
5500.0,5.0,-5.0
5750.0,0.0,-5.0
5750.0,0.5,-5.0
5750.0,1.0,-5.0
5750.0,1.5,-5.0
5750.0,2.0,-5.0
5750.0,2.5,-5.0
5750.0,3.0,-5.0
5750.0,3.5,-5.0
5750.0,4.0,-5.0
5750.0,4.5,-5.0
5750.0,5.0,-5.0
6000.0,0.0,-5.0
6000.0,0.5,-5.0
6000.0,1.0,-5.0
6000.0,1.5,-5.0
6000.0,2.0,-5.0
6000.0,2.5,-5.0
6000.0,3.0,-5.0
6000.0,3.5,-5.0
6000.0,4.0,-5.0
6000.0,4.5,-5.0
6000.0,5.0,-5.0
6250.0,0.5,-5.0
6250.0,1.0,-5.0
6250.0,1.5,-5.0
6250.0,2.0,-5.0
6250.0,2.5,-5.0
6250.0,3.0,-5.0
6250.0,3.5,-5.0
6250.0,4.0,-5.0
6250.0,4.5,-5.0
6250.0,5.0,-5.0
6500.0,0.5,-5.0
6500.0,1.0,-5.0
6500.0,1.5,-5.0
6500.0,2.0,-5.0
6500.0,2.5,-5.0
6500.0,3.0,-5.0
6500.0,3.5,-5.0
6500.0,4.0,-5.0
6500.0,4.5,-5.0
6500.0,5.0,-5.0
6750.0,0.5,-5.0
6750.0,1.0,-5.0
6750.0,1.5,-5.0
6750.0,2.0,-5.0
6750.0,2.5,-5.0
6750.0,3.0,-5.0
6750.0,3.5,-5.0
6750.0,4.0,-5.0
6750.0,4.5,-5.0
6750.0,5.0,-5.0
7000.0,0.5,-5.0
7000.0,1.0,-5.0
7000.0,1.5,-5.0
7000.0,2.0,-5.0
7000.0,2.5,-5.0
7000.0,3.0,-5.0
7000.0,3.5,-5.0
7000.0,4.0,-5.0
7000.0,4.5,-5.0
7000.0,5.0,-5.0
7250.0,1.0,-5.0
7250.0,1.5,-5.0
7250.0,2.0,-5.0
7250.0,2.5,-5.0
7250.0,3.0,-5.0
7250.0,3.5,-5.0
7250.0,4.0,-5.0
7250.0,4.5,-5.0
7250.0,5.0,-5.0
7500.0,1.0,-5.0
7500.0,1.5,-5.0
7500.0,2.0,-5.0
7500.0,2.5,-5.0
7500.0,3.0,-5.0
7500.0,3.5,-5.0
7500.0,4.0,-5.0
7500.0,4.5,-5.0
7500.0,5.0,-5.0
7750.0,1.5,-5.0
7750.0,2.0,-5.0
7750.0,2.5,-5.0
7750.0,3.0,-5.0
7750.0,3.5,-5.0
7750.0,4.0,-5.0
7750.0,4.5,-5.0
7750.0,5.0,-5.0
8000.0,1.5,-5.0
8000.0,2.0,-5.0
8000.0,2.5,-5.0
8000.0,3.0,-5.0
8000.0,3.5,-5.0
8000.0,4.0,-5.0
8000.0,4.5,-5.0
8000.0,5.0,-5.0
8250.0,2.0,-5.0
8250.0,2.5,-5.0
8250.0,3.0,-5.0
8250.0,3.5,-5.0
8250.0,4.0,-5.0
8250.0,4.5,-5.0
8250.0,5.0,-5.0
8500.0,1.5,-5.0
8500.0,2.0,-5.0
8500.0,2.5,-5.0
8500.0,3.0,-5.0
8500.0,3.5,-5.0
8500.0,4.0,-5.0
8500.0,4.5,-5.0
8500.0,5.0,-5.0
8750.0,2.0,-5.0
8750.0,2.5,-5.0
8750.0,3.0,-5.0
8750.0,3.5,-5.0
8750.0,4.0,-5.0
8750.0,4.5,-5.0
8750.0,5.0,-5.0
9000.0,1.5,-5.0
9000.0,2.0,-5.0
9000.0,2.5,-5.0
9000.0,3.0,-5.0
9000.0,3.5,-5.0
9000.0,4.0,-5.0
9000.0,4.5,-5.0
9000.0,5.0,-5.0
9250.0,2.0,-5.0
9250.0,2.5,-5.0
9250.0,3.0,-5.0
9250.0,3.5,-5.0
9250.0,4.0,-5.0
9250.0,4.5,-5.0
9250.0,5.0,-5.0
9500.0,2.0,-5.0
9500.0,2.5,-5.0
9500.0,3.0,-5.0
9500.0,3.5,-5.0
9500.0,4.0,-5.0
9500.0,4.5,-5.0
9500.0,5.0,-5.0
9750.0,2.0,-5.0
9750.0,2.5,-5.0
9750.0,3.0,-5.0
9750.0,3.5,-5.0
9750.0,4.0,-5.0
9750.0,4.5,-5.0
9750.0,5.0,-5.0
10000.0,2.0,-5.0
10000.0,2.5,-5.0
10000.0,3.0,-5.0
10000.0,3.5,-5.0
10000.0,4.0,-5.0
10000.0,4.5,-5.0
10000.0,5.0,-5.0
10500.0,2.0,-5.0
10500.0,2.5,-5.0
10500.0,3.0,-5.0
10500.0,3.5,-5.0
10500.0,4.0,-5.0
10500.0,4.5,-5.0
10500.0,5.0,-5.0
11000.0,2.5,-5.0
11000.0,3.0,-5.0
11000.0,3.5,-5.0
11000.0,4.0,-5.0
11000.0,4.5,-5.0
11000.0,5.0,-5.0
11500.0,2.5,-5.0
11500.0,3.0,-5.0
11500.0,3.5,-5.0
11500.0,4.0,-5.0
11500.0,4.5,-5.0
11500.0,5.0,-5.0
12000.0,2.5,-5.0
12000.0,3.0,-5.0
12000.0,3.5,-5.0
12000.0,4.0,-5.0
12000.0,4.5,-5.0
12000.0,5.0,-5.0
12500.0,2.5,-5.0
12500.0,3.0,-5.0
12500.0,3.5,-5.0
12500.0,4.0,-5.0
12500.0,4.5,-5.0
12500.0,5.0,-5.0
13000.0,2.5,-5.0
13000.0,3.0,-5.0
13000.0,3.5,-5.0
13000.0,4.0,-5.0
13000.0,4.5,-5.0
13000.0,5.0,-5.0
14000.0,2.0,-5.0
14000.0,2.5,-5.0
14000.0,3.0,-5.0
14000.0,3.5,-5.0
