EFF  11500.  GRAVITY 4.00000 LTE
ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
5.51769424E-06   7526.3 5.511E-02 2.501E+10 3.016E-01 1.130E+01 2.000E+05
5.90929498E-06   7670.9 5.902E-02 2.637E+10 3.016E-01 1.107E+01 2.000E+05
7.85358211E-06   7671.9 7.844E-02 3.496E+10 3.056E-01 1.147E+01 2.000E+05
1.04214340E-05   7681.3 1.041E-01 4.620E+10 3.105E-01 1.193E+01 2.000E+05
1.37850824E-05   7709.4 1.377E-01 6.073E+10 3.165E-01 1.236E+01 2.000E+05
1.81766956E-05   7743.5 1.815E-01 7.951E+10 3.239E-01 1.282E+01 2.000E+05
2.38881095E-05   7779.3 2.386E-01 1.037E+11 3.328E-01 1.334E+01 2.000E+05
3.12847885E-05   7814.6 3.125E-01 1.347E+11 3.434E-01 1.396E+01 2.000E+05
4.08227306E-05   7849.1 4.077E-01 1.742E+11 3.558E-01 1.467E+01 2.000E+05
5.30670879E-05   7880.6 5.300E-01 2.244E+11 3.704E-01 1.558E+01 2.000E+05
6.87124736E-05   7911.6 6.862E-01 2.877E+11 3.875E-01 1.672E+01 2.000E+05
8.86067233E-05   7946.2 8.848E-01 3.670E+11 4.073E-01 1.810E+01 2.000E+05
1.13773345E-04   7989.8 1.136E+00 4.658E+11 4.305E-01 1.960E+01 2.000E+05
1.45430808E-04   8044.4 1.452E+00 5.886E+11 4.577E-01 2.115E+01 2.000E+05
1.85020573E-04   8104.7 1.847E+00 7.401E+11 4.894E-01 2.283E+01 2.000E+05
2.34240282E-04   8176.0 2.338E+00 9.263E+11 5.264E-01 2.443E+01 2.000E+05
2.95111187E-04   8246.8 2.945E+00 1.154E+12 5.689E-01 2.604E+01 2.000E+05
3.70075231E-04   8311.2 3.693E+00 1.430E+12 6.171E-01 2.774E+01 2.000E+05
4.62081363E-04   8356.9 4.610E+00 1.764E+12 6.714E-01 2.992E+01 2.000E+05
5.74712695E-04   8383.5 5.733E+00 2.163E+12 7.321E-01 3.288E+01 2.000E+05
7.12371686E-04   8397.4 7.105E+00 2.636E+12 7.991E-01 3.666E+01 2.000E+05
8.80528077E-04   8404.7 8.780E+00 3.196E+12 8.725E-01 4.118E+01 2.000E+05
1.08577285E-03   8417.1 1.082E+01 3.859E+12 9.541E-01 4.612E+01 2.000E+05
1.33562781E-03   8439.7 1.331E+01 4.648E+12 1.047E+00 5.122E+01 2.000E+05
1.63913805E-03   8461.9 1.633E+01 5.575E+12 1.150E+00 5.677E+01 2.000E+05
2.00726281E-03   8487.0 1.999E+01 6.667E+12 1.265E+00 6.285E+01 2.000E+05
2.45272662E-03   8515.1 2.441E+01 7.951E+12 1.396E+00 6.951E+01 2.000E+05
2.99112939E-03   8543.1 2.976E+01 9.450E+12 1.541E+00 7.679E+01 2.000E+05
3.63991159E-03   8580.4 3.619E+01 1.123E+13 1.709E+00 8.451E+01 2.000E+05
4.41958831E-03   8618.9 4.392E+01 1.331E+13 1.897E+00 9.282E+01 2.000E+05
5.35519220E-03   8660.1 5.319E+01 1.575E+13 2.111E+00 1.022E+02 2.000E+05
