TEFF  12500.  GRAVITY 3.50000 LTE 
TITLE SDSC GRID  [-0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.64070219E-06   7155.4 1.739E-02 8.300E+09 3.078E-01 7.853E+01 2.000E+05
 5.77915683E-06   7310.8 1.782E-02 8.359E+09 3.078E-01 7.531E+01 2.000E+05
 7.69739934E-06   7345.2 2.374E-02 1.107E+10 3.102E-01 7.964E+01 2.000E+05
 1.02341794E-05   7391.7 3.155E-02 1.460E+10 3.133E-01 8.386E+01 2.000E+05
 1.35818100E-05   7444.0 4.186E-02 1.921E+10 3.168E-01 8.521E+01 2.000E+05
 1.79916856E-05   7504.9 5.542E-02 2.521E+10 3.211E-01 8.686E+01 2.000E+05
 2.37842505E-05   7571.4 7.323E-02 3.299E+10 3.264E-01 8.931E+01 2.000E+05
 3.13750819E-05   7645.9 9.656E-02 4.305E+10 3.324E-01 8.781E+01 2.000E+05
 4.13077606E-05   7723.1 1.271E-01 5.607E+10 3.391E-01 8.300E+01 2.000E+05
 5.42704836E-05   7799.3 1.671E-01 7.292E+10 3.471E-01 7.993E+01 2.000E+05
 7.11222648E-05   7875.8 2.190E-01 9.460E+10 3.567E-01 7.869E+01 2.000E+05
 9.29361551E-05   7953.7 2.863E-01 1.224E+11 3.683E-01 7.905E+01 2.000E+05
 1.21059916E-04   8034.6 3.730E-01 1.577E+11 3.816E-01 7.885E+01 2.000E+05
 1.57175782E-04   8117.3 4.844E-01 2.026E+11 3.970E-01 7.879E+01 2.000E+05
 2.03392904E-04   8202.7 6.269E-01 2.594E+11 4.143E-01 7.635E+01 2.000E+05
 2.62298777E-04   8287.7 8.087E-01 3.310E+11 4.346E-01 7.507E+01 2.000E+05
 3.36994220E-04   8374.1 1.039E+00 4.207E+11 4.581E-01 7.477E+01 2.000E+05
 4.31299512E-04   8463.0 1.331E+00 5.327E+11 4.848E-01 7.345E+01 2.000E+05
 5.49799724E-04   8551.3 1.697E+00 6.720E+11 5.159E-01 7.325E+01 2.000E+05
 6.97873907E-04   8639.3 2.154E+00 8.440E+11 5.520E-01 7.409E+01 2.000E+05
 8.81935172E-04   8726.5 2.722E+00 1.055E+12 5.935E-01 7.558E+01 2.000E+05
 1.10992091E-03   8814.2 3.426E+00 1.314E+12 6.397E-01 7.525E+01 2.000E+05
 1.39130108E-03   8896.8 4.295E+00 1.631E+12 6.929E-01 7.534E+01 2.000E+05
 1.73670997E-03   8973.7 5.361E+00 2.016E+12 7.548E-01 7.709E+01 2.000E+05
 2.15840269E-03   9047.7 6.661E+00 2.482E+12 8.264E-01 8.018E+01 2.000E+05
 2.67076787E-03   9120.1 8.239E+00 3.042E+12 9.090E-01 8.443E+01 2.000E+05
 3.29066062E-03   9192.0 1.015E+01 3.711E+12 1.004E+00 8.974E+01 2.000E+05
 4.03867353E-03   9266.1 1.244E+01 4.510E+12 1.110E+00 9.453E+01 2.000E+05
 4.93868610E-03   9337.4 1.520E+01 5.460E+12 1.233E+00 1.004E+02 2.000E+05
 6.01889550E-03   9408.6 1.850E+01 6.587E+12 1.370E+00 1.063E+02 2.000E+05
