EFF  15000.  GRAVITY 4.50000 LTE 
ITLE SDSC GRID  [-2.0]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.01000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
5.43098484E-06   9159.2 1.715E-01 6.462E+10 3.087E-01 3.581E+01 2.000E+05
5.77946311E-06   9231.8 1.825E-01 6.823E+10 3.087E-01 3.559E+01 2.000E+05
7.67161374E-06   9232.8 2.423E-01 9.054E+10 3.146E-01 3.744E+01 2.000E+05
1.01571154E-05   9239.0 3.208E-01 1.198E+11 3.220E-01 3.969E+01 2.000E+05
1.33873713E-05   9262.7 4.228E-01 1.574E+11 3.309E-01 4.204E+01 2.000E+05
1.75722851E-05   9291.4 5.549E-01 2.059E+11 3.416E-01 4.475E+01 2.000E+05
2.29602691E-05   9325.7 7.251E-01 2.680E+11 3.544E-01 4.780E+01 2.000E+05
2.98661425E-05   9367.4 9.431E-01 3.469E+11 3.696E-01 5.114E+01 2.000E+05
3.86743770E-05   9415.1 1.221E+00 4.468E+11 3.874E-01 5.473E+01 2.000E+05
4.98532806E-05   9470.7 1.574E+00 5.723E+11 4.080E-01 5.846E+01 2.000E+05
6.39725957E-05   9534.0 2.020E+00 7.292E+11 4.317E-01 6.229E+01 2.000E+05
8.17249855E-05   9605.0 2.580E+00 9.243E+11 4.589E-01 6.613E+01 2.000E+05
1.03950409E-04   9682.7 3.281E+00 1.166E+12 4.897E-01 6.994E+01 2.000E+05
1.31661436E-04   9765.0 4.156E+00 1.463E+12 5.248E-01 7.367E+01 2.000E+05
1.66069694E-04   9850.9 5.241E+00 1.829E+12 5.648E-01 7.747E+01 2.000E+05
2.08602991E-04   9937.4 6.583E+00 2.277E+12 6.107E-01 8.140E+01 2.000E+05
2.60917985E-04  10020.5 8.233E+00 2.823E+12 6.639E-01 8.564E+01 2.000E+05
3.24888521E-04  10095.1 1.025E+01 3.487E+12 7.263E-01 9.053E+01 2.000E+05
4.02601405E-04  10158.0 1.270E+01 4.292E+12 8.000E-01 9.650E+01 2.000E+05
4.96283656E-04  10205.7 1.565E+01 5.261E+12 8.885E-01 1.049E+02 2.000E+05
6.08329501E-04  10239.7 1.918E+01 6.420E+12 9.941E-01 1.165E+02 2.000E+05
7.41479948E-04  10266.5 2.338E+01 7.795E+12 1.118E+00 1.313E+02 2.000E+05
8.99112865E-04  10292.8 2.834E+01 9.413E+12 1.261E+00 1.490E+02 2.000E+05
1.08552931E-03  10325.2 3.421E+01 1.131E+13 1.421E+00 1.683E+02 2.000E+05
1.30616328E-03  10365.1 4.114E+01 1.354E+13 1.601E+00 1.889E+02 2.000E+05
1.56718524E-03  10406.2 4.935E+01 1.615E+13 1.806E+00 2.119E+02 2.000E+05
1.87567795E-03  10450.4 5.903E+01 1.921E+13 2.038E+00 2.376E+02 2.000E+05
2.24012056E-03  10497.1 7.046E+01 2.279E+13 2.301E+00 2.665E+02 2.000E+05
2.67072719E-03  10548.4 8.396E+01 2.699E+13 2.596E+00 2.985E+02 2.000E+05
3.17929278E-03  10600.1 9.988E+01 3.190E+13 2.932E+00 3.349E+02 2.000E+05
3.78168726E-03  10668.5 1.187E+02 3.763E+13 3.292E+00 3.717E+02 2.000E+05
