TEFF  16000.  GRAVITY 4.00000 LTE 
TITLE SDSC GRID  [+0.1]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.25890 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.39014148E-06   8550.5 5.298E-02 2.138E+10 3.106E-01 1.718E+02 2.000E+05
 5.73641930E-06   8911.3 5.638E-02 2.185E+10 3.106E-01 1.592E+02 2.000E+05
 7.62467734E-06   8989.9 7.496E-02 2.879E+10 3.140E-01 1.612E+02 2.000E+05
 1.01281922E-05   9078.3 9.959E-02 3.788E+10 3.178E-01 1.617E+02 2.000E+05
 1.34235806E-05   9171.0 1.320E-01 4.970E+10 3.222E-01 1.620E+02 2.000E+05
 1.77554995E-05   9273.9 1.746E-01 6.501E+10 3.271E-01 1.586E+02 2.000E+05
 2.34389687E-05   9379.6 2.306E-01 8.487E+10 3.328E-01 1.541E+02 2.000E+05
 3.08753339E-05   9482.3 3.038E-01 1.106E+11 3.397E-01 1.508E+02 2.000E+05
 4.05755884E-05   9581.6 3.994E-01 1.439E+11 3.478E-01 1.479E+02 2.000E+05
 5.31845258E-05   9672.6 5.236E-01 1.869E+11 3.575E-01 1.470E+02 2.000E+05
 6.95037498E-05   9753.0 6.844E-01 2.422E+11 3.692E-01 1.494E+02 2.000E+05
 9.05207953E-05   9824.2 8.913E-01 3.131E+11 3.832E-01 1.558E+02 2.000E+05
 1.17450382E-04   9894.0 1.156E+00 4.033E+11 3.998E-01 1.648E+02 2.000E+05
 1.51792795E-04   9968.7 1.494E+00 5.171E+11 4.189E-01 1.749E+02 2.000E+05
 1.95393209E-04  10054.0 1.922E+00 6.596E+11 4.409E-01 1.845E+02 2.000E+05
 2.50531430E-04  10150.2 2.463E+00 8.371E+11 4.657E-01 1.917E+02 2.000E+05
 3.20028038E-04  10253.3 3.145E+00 1.058E+12 4.935E-01 1.968E+02 2.000E+05
 4.07354836E-04  10364.9 4.000E+00 1.331E+12 5.245E-01 1.986E+02 2.000E+05
 5.16689255E-04  10477.3 5.072E+00 1.670E+12 5.598E-01 2.001E+02 2.000E+05
 6.52996068E-04  10590.1 6.408E+00 2.087E+12 6.001E-01 2.018E+02 2.000E+05
 8.22196911E-04  10701.7 8.065E+00 2.599E+12 6.460E-01 2.041E+02 2.000E+05
 1.03131583E-03  10810.9 1.011E+01 3.226E+12 6.984E-01 2.075E+02 2.000E+05
 1.28871500E-03  10920.1 1.263E+01 3.989E+12 7.581E-01 2.114E+02 2.000E+05
 1.60414797E-03  11025.6 1.572E+01 4.916E+12 8.269E-01 2.175E+02 2.000E+05
 1.98895533E-03  11129.0 1.948E+01 6.036E+12 9.057E-01 2.258E+02 2.000E+05
 2.45660742E-03  11231.2 2.405E+01 7.382E+12 9.956E-01 2.363E+02 2.000E+05
 3.02284313E-03  11333.4 2.958E+01 8.995E+12 1.098E+00 2.487E+02 2.000E+05
 3.70662200E-03  11435.6 3.624E+01 1.092E+13 1.214E+00 2.621E+02 2.000E+05
 4.53066876E-03  11537.0 4.426E+01 1.322E+13 1.345E+00 2.770E+02 2.000E+05
 5.52160972E-03  11637.1 5.388E+01 1.595E+13 1.493E+00 2.941E+02 2.000E+05
