TEFF  22000.  GRAVITY 3.00000 LTE
TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.69562767E-06  12748.9 4.890E-03 1.389E+09 3.155E-01 1.397E+02 2.000E+05
 5.87732554E-06  12749.9 5.046E-03 1.433E+09 3.155E-01 1.397E+02 2.000E+05
 7.67286300E-06  12750.9 6.588E-03 1.871E+09 3.156E-01 1.397E+02 2.000E+05
 1.01917911E-05  12751.9 8.754E-03 2.486E+09 3.158E-01 1.398E+02 2.000E+05
 1.35149179E-05  12752.9 1.161E-02 3.298E+09 3.159E-01 1.398E+02 2.000E+05
 1.79034587E-05  12753.9 1.539E-02 4.370E+09 3.161E-01 1.399E+02 2.000E+05
 2.37351755E-05  12754.9 2.042E-02 5.796E+09 3.163E-01 1.401E+02 2.000E+05
 3.14990454E-05  12755.9 2.710E-02 7.693E+09 3.165E-01 1.402E+02 2.000E+05
 4.18684011E-05  12756.9 3.603E-02 1.023E+10 3.168E-01 1.405E+02 2.000E+05
 5.57435979E-05  12757.9 4.797E-02 1.361E+10 3.171E-01 1.407E+02 2.000E+05
 7.43158645E-05  12758.9 6.393E-02 1.814E+10 3.174E-01 1.411E+02 2.000E+05
 9.91413292E-05  12759.9 8.526E-02 2.418E+10 3.178E-01 1.416E+02 2.000E+05
 1.32306291E-04  12760.9 1.137E-01 3.225E+10 3.182E-01 1.422E+02 2.000E+05
 1.76454914E-04  12769.7 1.516E-01 4.295E+10 3.189E-01 1.430E+02 2.000E+05
 2.35206418E-04  12785.7 2.019E-01 5.712E+10 3.196E-01 1.440E+02 2.000E+05
 3.13332145E-04  12808.8 2.687E-01 7.588E+10 3.207E-01 1.452E+02 2.000E+05
 4.17137715E-04  12840.7 3.574E-01 1.006E+11 3.219E-01 1.466E+02 2.000E+05
 5.54929810E-04  12882.5 4.748E-01 1.332E+11 3.236E-01 1.483E+02 2.000E+05
 7.37618900E-04  12933.6 6.302E-01 1.761E+11 3.257E-01 1.503E+02 2.000E+05
 9.79460200E-04  12996.1 8.354E-01 2.322E+11 3.284E-01 1.526E+02 2.000E+05
 1.29904265E-03  13069.6 1.106E+00 3.055E+11 3.317E-01 1.551E+02 2.000E+05
 1.72045735E-03  13154.1 1.461E+00 4.010E+11 3.358E-01 1.579E+02 2.000E+05
 2.27478415E-03  13246.4 1.927E+00 5.249E+11 3.408E-01 1.611E+02 2.000E+05
 3.00196966E-03  13348.7 2.536E+00 6.852E+11 3.470E-01 1.647E+02 2.000E+05
 3.95298777E-03  13460.9 3.328E+00 8.916E+11 3.543E-01 1.688E+02 2.000E+05
 5.19273457E-03  13586.8 4.356E+00 1.156E+12 3.631E-01 1.733E+02 2.000E+05
 6.80349964E-03  13727.3 5.683E+00 1.492E+12 3.732E-01 1.782E+02 2.000E+05
 8.88973018E-03  13887.2 7.392E+00 1.919E+12 3.848E-01 1.834E+02 2.000E+05
 1.15836768E-02  14063.2 9.585E+00 2.457E+12 3.980E-01 1.885E+02 2.000E+05
 1.50525279E-02  14254.6 1.239E+01 3.134E+12 4.127E-01 1.936E+02 2.000E+05
