TEFF  24000.  GRAVITY 5.00000 LTE
TITLE SDSC GRID  [+0.5]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   3.16200 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.99749418E-06  12012.5 4.900E-01 1.466E+11 3.587E-01 1.951E+03 2.000E+05
 5.06139455E-06  12733.2 4.963E-01 1.410E+11 3.587E-01 1.685E+03 2.000E+05
 6.60139811E-06  12794.2 6.476E-01 1.830E+11 3.637E-01 1.717E+03 2.000E+05
 8.75540051E-06  12944.7 8.593E-01 2.400E+11 3.707E-01 1.703E+03 2.000E+05
 1.15707231E-05  13069.5 1.136E+00 3.142E+11 3.785E-01 1.697E+03 2.000E+05
 1.52416933E-05  13215.0 1.497E+00 4.095E+11 3.876E-01 1.678E+03 2.000E+05
 2.00158309E-05  13357.0 1.966E+00 5.321E+11 3.979E-01 1.664E+03 2.000E+05
 2.62106051E-05  13504.8 2.576E+00 6.893E+11 4.094E-01 1.647E+03 2.000E+05
 3.42267068E-05  13657.0 3.364E+00 8.903E+11 4.225E-01 1.620E+03 2.000E+05
 4.45622879E-05  13812.0 4.381E+00 1.146E+12 4.378E-01 1.579E+03 2.000E+05
 5.78430593E-05  13961.4 5.689E+00 1.472E+12 4.550E-01 1.538E+03 2.000E+05
 7.48567910E-05  14104.7 7.364E+00 1.887E+12 4.744E-01 1.503E+03 2.000E+05
 9.65526743E-05  14242.9 9.501E+00 2.410E+12 4.976E-01 1.472E+03 2.000E+05
 1.24043071E-04  14373.9 1.221E+01 3.068E+12 5.253E-01 1.463E+03 2.000E+05
 1.58675597E-04  14499.3 1.562E+01 3.891E+12 5.573E-01 1.470E+03 2.000E+05
 2.02107520E-04  14621.0 1.990E+01 4.915E+12 5.938E-01 1.488E+03 2.000E+05
 2.56343472E-04  14740.5 2.524E+01 6.182E+12 6.354E-01 1.516E+03 2.000E+05
 3.23800800E-04  14859.8 3.189E+01 7.744E+12 6.826E-01 1.552E+03 2.000E+05
 4.07281964E-04  14981.3 4.010E+01 9.658E+12 7.376E-01 1.601E+03 2.000E+05
 5.10137483E-04  15102.6 5.022E+01 1.199E+13 7.993E-01 1.653E+03 2.000E+05
 6.36522767E-04  15224.6 6.265E+01 1.484E+13 8.685E-01 1.711E+03 2.000E+05
 7.91451031E-04  15348.3 7.787E+01 1.829E+13 9.457E-01 1.775E+03 2.000E+05
 9.81040109E-04  15475.4 9.648E+01 2.247E+13 1.031E+00 1.846E+03 2.000E+05
 1.21236776E-03  15610.8 1.192E+02 2.751E+13 1.129E+00 1.933E+03 2.000E+05
 1.49398956E-03  15754.2 1.468E+02 3.357E+13 1.237E+00 2.022E+03 2.000E+05
 1.83660665E-03  15907.6 1.803E+02 4.085E+13 1.357E+00 2.114E+03 2.000E+05
 2.25257263E-03  16071.9 2.210E+02 4.955E+13 1.493E+00 2.213E+03 2.000E+05
 2.75705454E-03  16247.2 2.703E+02 5.995E+13 1.641E+00 2.312E+03 2.000E+05
 3.36909955E-03  16434.4 3.301E+02 7.237E+13 1.804E+00 2.413E+03 2.000E+05
 4.11056186E-03  16633.8 4.024E+02 8.718E+13 1.987E+00 2.523E+03 2.000E+05
