TEFF  27000.  GRAVITY 4.00000 LTE
TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.21341721E-06  13043.1 2.611E-02 6.702E+09 3.189E-01 3.663E+03 2.000E+05
 5.55230438E-06  14250.2 3.584E-02 9.150E+09 3.304E-01 2.692E+03 2.000E+05
 7.33764508E-06  14303.7 4.881E-02 1.241E+10 3.341E-01 2.775E+03 2.000E+05
 9.69253630E-06  14420.2 6.582E-02 1.661E+10 3.376E-01 2.777E+03 2.000E+05
 1.27976716E-05  14532.7 8.826E-02 2.209E+10 3.416E-01 2.770E+03 2.000E+05
 1.68917422E-05  14655.1 1.180E-01 2.929E+10 3.454E-01 2.704E+03 2.000E+05
 2.22900339E-05  14779.5 1.576E-01 3.879E+10 3.494E-01 2.629E+03 2.000E+05
 2.93979839E-05  14903.8 2.101E-01 5.129E+10 3.542E-01 2.591E+03 2.000E+05
 3.87382234E-05  15028.5 2.793E-01 6.761E+10 3.598E-01 2.595E+03 2.000E+05
 5.09928417E-05  15156.3 3.700E-01 8.880E+10 3.659E-01 2.603E+03 2.000E+05
 6.70531783E-05  15287.9 4.887E-01 1.163E+11 3.726E-01 2.624E+03 2.000E+05
 8.80542690E-05  15425.6 6.430E-01 1.516E+11 3.805E-01 2.686E+03 2.000E+05
 1.15434037E-04  15574.0 8.419E-01 1.966E+11 3.897E-01 2.786E+03 2.000E+05
 1.51028142E-04  15737.4 1.097E+00 2.534E+11 4.001E-01 2.890E+03 2.000E+05
 1.97342440E-04  15918.1 1.426E+00 3.259E+11 4.094E-01 2.860E+03 2.000E+05
 2.57835533E-04  16107.8 1.863E+00 4.206E+11 4.174E-01 2.703E+03 2.000E+05
 3.36802801E-04  16296.5 2.444E+00 5.454E+11 4.271E-01 2.592E+03 2.000E+05
 4.39526196E-04  16486.6 3.209E+00 7.078E+11 4.386E-01 2.518E+03 2.000E+05
 5.72869406E-04  16681.5 4.213E+00 9.185E+11 4.508E-01 2.419E+03 2.000E+05
 7.45404842E-04  16875.6 5.526E+00 1.191E+12 4.658E-01 2.373E+03 2.000E+05
 9.67511413E-04  17074.1 7.221E+00 1.538E+12 4.837E-01 2.370E+03 2.000E+05
 1.25186512E-03  17280.3 9.385E+00 1.975E+12 5.051E-01 2.407E+03 2.000E+05
 1.61453286E-03  17501.2 1.213E+01 2.521E+12 5.287E-01 2.431E+03 2.000E+05
 2.07530358E-03  17733.8 1.561E+01 3.201E+12 5.559E-01 2.474E+03 2.000E+05
 2.66135035E-03  17983.5 2.004E+01 4.053E+12 5.813E-01 2.403E+03 2.000E+05
 3.40814179E-03  18233.4 2.575E+01 5.135E+12 6.092E-01 2.323E+03 2.000E+05
 4.35670916E-03  18483.3 3.306E+01 6.504E+12 6.409E-01 2.264E+03 2.000E+05
 5.55795323E-03  18735.6 4.239E+01 8.227E+12 6.755E-01 2.204E+03 2.000E+05
 7.07267830E-03  18988.5 5.422E+01 1.038E+13 7.165E-01 2.184E+03 2.000E+05
 8.97182466E-03  19248.2 6.906E+01 1.304E+13 7.639E-01 2.195E+03 2.000E+05
