EFF  33000.  GRAVITY 5.00000 LTE 
ITLE SDSC GRID  [-2.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  0.003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.75822576E-06  19808.7 4.720E-01 8.629E+10 3.244E-01 7.967E+02 2.000E+05
5.48317838E-06  19875.9 5.440E-01 9.910E+10 3.244E-01 7.966E+02 2.000E+05
7.30373910E-06  19910.3 7.246E-01 1.318E+11 3.262E-01 8.016E+02 2.000E+05
9.72014326E-06  19911.3 9.642E-01 1.754E+11 3.284E-01 8.083E+02 2.000E+05
1.29201186E-05  20013.0 1.282E+00 2.319E+11 3.308E-01 8.143E+02 2.000E+05
1.71542126E-05  20069.4 1.702E+00 3.070E+11 3.335E-01 8.228E+02 2.000E+05
2.27510747E-05  20151.2 2.257E+00 4.055E+11 3.366E-01 8.332E+02 2.000E+05
3.01426604E-05  20233.1 2.990E+00 5.350E+11 3.400E-01 8.462E+02 2.000E+05
3.98946905E-05  20303.9 3.956E+00 7.055E+11 3.439E-01 8.640E+02 2.000E+05
5.27477644E-05  20388.9 5.231E+00 9.288E+11 3.481E-01 8.854E+02 2.000E+05
6.96704705E-05  20476.9 6.908E+00 1.221E+12 3.527E-01 9.113E+02 2.000E+05
9.19254075E-05  20572.2 9.112E+00 1.604E+12 3.579E-01 9.424E+02 2.000E+05
1.21150955E-04  20671.7 1.201E+01 2.103E+12 3.637E-01 9.799E+02 2.000E+05
1.59463963E-04  20779.3 1.580E+01 2.753E+12 3.703E-01 1.024E+03 2.000E+05
2.09589573E-04  20888.5 2.076E+01 3.598E+12 3.779E-01 1.078E+03 2.000E+05
2.75017165E-04  21004.5 2.723E+01 4.693E+12 3.865E-01 1.141E+03 2.000E+05
3.60182866E-04  21125.4 3.565E+01 6.108E+12 3.965E-01 1.215E+03 2.000E+05
4.70683782E-04  21253.7 4.656E+01 7.929E+12 4.082E-01 1.302E+03 2.000E+05
6.13550041E-04  21389.2 6.065E+01 1.026E+13 4.218E-01 1.402E+03 2.000E+05
7.97567650E-04  21534.5 7.878E+01 1.324E+13 4.375E-01 1.514E+03 2.000E+05
1.03364434E-03  21686.9 1.020E+02 1.703E+13 4.557E-01 1.638E+03 2.000E+05
1.33517470E-03  21843.2 1.317E+02 2.181E+13 4.768E-01 1.777E+03 2.000E+05
1.71850586E-03  21996.3 1.693E+02 2.785E+13 5.013E-01 1.939E+03 2.000E+05
2.20347493E-03  22143.9 2.168E+02 3.543E+13 5.297E-01 2.133E+03 2.000E+05
2.81393007E-03  22284.9 2.765E+02 4.489E+13 5.626E-01 2.371E+03 2.000E+05
3.57835198E-03  22426.7 3.510E+02 5.663E+13 6.006E-01 2.658E+03 2.000E+05
4.53076101E-03  22580.8 4.435E+02 7.107E+13 6.443E-01 2.989E+03 2.000E+05
5.71228428E-03  22754.7 5.579E+02 8.871E+13 6.938E-01 3.360E+03 2.000E+05
7.17312471E-03  22957.1 6.988E+02 1.101E+14 7.493E-01 3.759E+03 2.000E+05
8.97465057E-03  23193.1 8.718E+02 1.360E+14 8.111E-01 4.178E+03 2.000E+05
1.11920257E-02  23469.1 1.084E+03 1.670E+14 8.794E-01 4.603E+03 2.000E+05
