EFF   3500.  GRAVITY 2.50000 LTE 
ITLE SDSC GRID  [-2.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  0.003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
1.71279418E-01   2089.0 5.416E+01 2.864E+06 7.786E-07 3.470E-05 2.000E+05 0.000E+00 0.000E+00
2.27736877E-01   2089.0 7.202E+01 3.640E+06 7.970E-07 3.420E-05 2.000E+05 0.000E+00 0.000E+00
3.01251569E-01   2089.0 9.526E+01 4.621E+06 8.166E-07 3.367E-05 2.000E+05 0.000E+00 0.000E+00
3.94629223E-01   2104.0 1.248E+02 6.013E+06 8.774E-07 3.288E-05 2.000E+05 0.000E+00 0.000E+00
5.09968429E-01   2122.6 1.613E+02 7.791E+06 9.509E-07 3.202E-05 2.000E+05 0.000E+00 0.000E+00
6.51604847E-01   2142.8 2.061E+02 1.003E+07 1.034E-06 3.115E-05 2.000E+05 0.000E+00 0.000E+00
8.24662315E-01   2165.5 2.608E+02 1.287E+07 1.133E-06 3.027E-05 2.000E+05 0.000E+00 0.000E+00
1.03448837E+00   2190.7 3.271E+02 1.648E+07 1.251E-06 2.943E-05 2.000E+05 0.000E+00 0.000E+00
1.28729598E+00   2217.1 4.071E+02 2.099E+07 1.388E-06 2.869E-05 2.000E+05 0.000E+00 0.000E+00
1.58960986E+00   2246.0 5.027E+02 2.669E+07 1.555E-06 2.803E-05 2.000E+05 0.000E+00 0.000E+00
1.94764351E+00   2277.0 6.159E+02 3.381E+07 1.758E-06 2.748E-05 2.000E+05 0.000E+00 0.000E+00
2.36884516E+00   2309.0 7.491E+02 4.256E+07 1.998E-06 2.701E-05 2.000E+05 0.000E+00 0.000E+00
2.86134991E+00   2342.8 9.049E+02 5.332E+07 2.287E-06 2.669E-05 2.000E+05 0.000E+00 0.000E+00
3.43256879E+00   2378.4 1.085E+03 6.642E+07 2.637E-06 2.656E-05 2.000E+05 0.000E+00 0.000E+00
4.09374796E+00   2413.4 1.295E+03 8.196E+07 3.036E-06 2.651E-05 2.000E+05 0.000E+00 0.000E+00
4.85924032E+00   2448.7 1.537E+03 1.005E+08 3.499E-06 2.656E-05 2.000E+05 0.000E+00 0.000E+00
5.74308463E+00   2485.4 1.816E+03 1.225E+08 4.049E-06 2.680E-05 2.000E+05 0.000E+00 0.000E+00
6.76169623E+00   2522.0 2.138E+03 1.486E+08 4.684E-06 2.714E-05 2.000E+05 0.000E+00 0.000E+00
7.93668435E+00   2558.2 2.510E+03 1.792E+08 5.411E-06 2.752E-05 2.000E+05 0.000E+00 0.000E+00
9.29201381E+00   2594.4 2.938E+03 2.155E+08 6.260E-06 2.810E-05 2.000E+05 0.000E+00 0.000E+00
1.08543188E+01   2630.1 3.433E+03 2.585E+08 7.241E-06 2.880E-05 2.000E+05 0.000E+00 0.000E+00
1.26576703E+01   2664.1 4.003E+03 3.093E+08 8.354E-06 2.939E-05 2.000E+05 0.000E+00 0.000E+00
1.47436041E+01   2696.7 4.662E+03 3.695E+08 9.625E-06 3.017E-05 2.000E+05 0.000E+00 0.000E+00
1.71608296E+01   2727.3 5.427E+03 4.408E+08 1.106E-05 3.112E-05 2.000E+05 0.000E+00 0.000E+00
