TEFF   3750.  GRAVITY 2.00000 LTE
TITLE SDSC GRID  [+0.5]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   3.16200 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.23101565E-03   2430.2 5.230E-01 2.857E+07 2.549E-05 1.162E-02 2.000E+05 0.000E+00 0.000E+00
 6.92956227E-03   2455.9 6.929E-01 3.785E+07 2.688E-05 1.072E-02 2.000E+05 0.000E+00 0.000E+00
 9.07215657E-03   2481.7 9.071E-01 4.965E+07 2.849E-05 9.970E-03 2.000E+05 0.000E+00 0.000E+00
 1.17644974E-02   2506.7 1.176E+00 6.448E+07 3.027E-05 9.265E-03 2.000E+05 0.000E+00 0.000E+00
 1.51402690E-02   2529.5 1.514E+00 8.285E+07 3.218E-05 8.522E-03 2.000E+05 0.000E+00 0.000E+00
 1.93649525E-02   2552.2 1.936E+00 1.058E+08 3.437E-05 7.896E-03 2.000E+05 0.000E+00 0.000E+00
 2.46263945E-02   2575.0 2.462E+00 1.345E+08 3.689E-05 7.405E-03 2.000E+05 0.000E+00 0.000E+00
 3.11443339E-02   2598.1 3.114E+00 1.702E+08 3.981E-05 7.018E-03 2.000E+05 0.000E+00 0.000E+00
 3.91897788E-02   2619.7 3.919E+00 2.139E+08 4.307E-05 6.636E-03 2.000E+05 0.000E+00 0.000E+00
 4.90762439E-02   2640.8 4.907E+00 2.672E+08 4.687E-05 6.294E-03 2.000E+05 0.000E+00 0.000E+00
 6.11626962E-02   2661.0 6.116E+00 3.320E+08 5.123E-05 5.984E-03 2.000E+05 0.000E+00 0.000E+00
 7.58762112E-02   2681.2 7.587E+00 4.107E+08 5.624E-05 5.742E-03 2.000E+05 0.000E+00 0.000E+00
 9.37078297E-02   2701.4 9.370E+00 5.061E+08 6.201E-05 5.544E-03 2.000E+05 0.000E+00 0.000E+00
 1.15240277E-01   2720.7 1.152E+01 6.202E+08 6.859E-05 5.344E-03 2.000E+05 0.000E+00 0.000E+00
 1.41133424E-01   2740.0 1.411E+01 7.571E+08 7.625E-05 5.177E-03 2.000E+05 0.000E+00 0.000E+00
 1.72099510E-01   2759.3 1.721E+01 9.209E+08 8.525E-05 5.036E-03 2.000E+05 0.000E+00 0.000E+00
 2.08955226E-01   2777.7 2.089E+01 1.114E+09 9.569E-05 4.891E-03 2.000E+05 0.000E+00 0.000E+00
 2.52683048E-01   2796.1 2.527E+01 1.342E+09 1.077E-04 4.773E-03 2.000E+05 0.000E+00 0.000E+00
 3.04436338E-01   2814.5 3.044E+01 1.612E+09 1.215E-04 4.670E-03 2.000E+05 0.000E+00 0.000E+00
 3.65575829E-01   2832.0 3.656E+01 1.928E+09 1.372E-04 4.550E-03 2.000E+05 0.000E+00 0.000E+00
 4.37644164E-01   2849.5 4.376E+01 2.298E+09 1.554E-04 4.454E-03 2.000E+05 0.000E+00 0.000E+00
 5.22362515E-01   2867.3 5.223E+01 2.734E+09 1.765E-04 4.390E-03 2.000E+05 0.000E+00 0.000E+00
 6.21696656E-01   2885.3 6.217E+01 3.245E+09 2.010E-04 4.347E-03 2.000E+05 0.000E+00 0.000E+00
