TEFF   3750.  GRAVITY 2.50000 LTE 
TITLE SDSC GRID  [+0.2]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.58489 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 7.29227003E-03   2472.6 2.306E+00 5.992E+07 1.829E-05 7.999E-03 2.000E+05 0.000E+00 0.000E+00
 9.61485130E-03   2502.2 3.040E+00 7.953E+07 2.001E-05 7.461E-03 2.000E+05 0.000E+00 0.000E+00
 1.24548235E-02   2525.6 3.938E+00 1.028E+08 2.176E-05 6.904E-03 2.000E+05 0.000E+00 0.000E+00
 1.59336813E-02   2547.7 5.039E+00 1.311E+08 2.371E-05 6.385E-03 2.000E+05 0.000E+00 0.000E+00
 2.01753688E-02   2570.3 6.380E+00 1.660E+08 2.600E-05 5.964E-03 2.000E+05 0.000E+00 0.000E+00
 2.53202784E-02   2593.0 8.007E+00 2.084E+08 2.866E-05 5.630E-03 2.000E+05 0.000E+00 0.000E+00
 3.15290408E-02   2615.9 9.970E+00 2.600E+08 3.173E-05 5.365E-03 2.000E+05 0.000E+00 0.000E+00
 3.90013174E-02   2636.2 1.233E+01 3.211E+08 3.518E-05 5.065E-03 2.000E+05 0.000E+00 0.000E+00
 4.79776031E-02   2655.1 1.517E+01 3.936E+08 3.911E-05 4.780E-03 2.000E+05 0.000E+00 0.000E+00
 5.87233389E-02   2674.0 1.857E+01 4.802E+08 4.364E-05 4.563E-03 2.000E+05 0.000E+00 0.000E+00
 7.15409948E-02   2692.8 2.262E+01 5.834E+08 4.887E-05 4.397E-03 2.000E+05 0.000E+00 0.000E+00
 8.67792641E-02   2711.5 2.744E+01 7.060E+08 5.490E-05 4.272E-03 2.000E+05 0.000E+00 0.000E+00
 1.04843566E-01   2729.9 3.315E+01 8.508E+08 6.183E-05 4.165E-03 2.000E+05 0.000E+00 0.000E+00
 1.26209230E-01   2747.2 3.991E+01 1.020E+09 6.980E-05 4.054E-03 2.000E+05 0.000E+00 0.000E+00
 1.51404584E-01   2764.1 4.788E+01 1.218E+09 7.905E-05 3.951E-03 2.000E+05 0.000E+00 0.000E+00
 1.81039368E-01   2780.5 5.725E+01 1.449E+09 8.970E-05 3.858E-03 2.000E+05 0.000E+00 0.000E+00
 2.15840803E-01   2796.8 6.825E+01 1.719E+09 1.019E-04 3.791E-03 2.000E+05 0.000E+00 0.000E+00
 2.56650253E-01   2813.2 8.116E+01 2.035E+09 1.160E-04 3.744E-03 2.000E+05 0.000E+00 0.000E+00
 3.04436842E-01   2829.7 9.627E+01 2.404E+09 1.322E-04 3.709E-03 2.000E+05 0.000E+00 0.000E+00
 3.60357230E-01   2845.4 1.140E+02 2.829E+09 1.506E-04 3.658E-03 2.000E+05 0.000E+00 0.000E+00
 4.25736080E-01   2861.0 1.346E+02 3.325E+09 1.720E-04 3.624E-03 2.000E+05 0.000E+00 0.000E+00
 5.02040272E-01   2877.0 1.588E+02 3.902E+09 1.966E-04 3.614E-03 2.000E+05 0.000E+00 0.000E+00
 5.90962467E-01   2892.7 1.869E+02 4.569E+09 2.251E-04 3.605E-03 2.000E+05 0.000E+00 0.000E+00
