TEFF  40000.  GRAVITY 5.00000 LTE
TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.02794107E-06  17838.9 1.318E-01 2.689E+10 3.303E-01 6.734E+04 2.000E+05
 5.32144760E-06  21305.0 1.874E-01 3.209E+10 3.548E-01 4.674E+04 2.000E+05
 6.97789151E-06  21562.6 2.771E-01 4.689E+10 3.617E-01 4.493E+04 2.000E+05
 9.14109867E-06  21842.6 3.969E-01 6.629E+10 3.689E-01 4.439E+04 2.000E+05
 1.19691415E-05  22134.3 5.554E-01 9.156E+10 3.761E-01 4.356E+04 2.000E+05
 1.56666511E-05  22436.7 7.666E-01 1.247E+11 3.835E-01 4.224E+04 2.000E+05
 2.05083173E-05  22740.9 1.055E+00 1.693E+11 3.901E-01 3.861E+04 2.000E+05
 2.68492784E-05  23032.7 1.455E+00 2.306E+11 3.978E-01 3.557E+04 2.000E+05
 3.51301103E-05  23315.8 1.997E+00 3.127E+11 4.068E-01 3.366E+04 2.000E+05
 4.59153448E-05  23601.1 2.720E+00 4.207E+11 4.172E-01 3.254E+04 2.000E+05
 5.99253450E-05  23896.1 3.672E+00 5.610E+11 4.288E-01 3.165E+04 2.000E+05
 7.80906382E-05  24204.5 4.923E+00 7.427E+11 4.415E-01 3.065E+04 2.000E+05
 1.01596221E-04  24523.3 6.564E+00 9.776E+11 4.555E-01 2.977E+04 2.000E+05
