TEFF  40000.  GRAVITY 5.00000 LTE
TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.58383039E-06  29007.9 4.514E-01 5.872E+10 3.442E-01 1.694E+03 2.000E+05
 5.11668855E-06  29008.9 5.038E-01 6.553E+10 3.442E-01 1.694E+03 2.000E+05
 6.82389676E-06  29009.9 6.719E-01 8.738E+10 3.445E-01 1.695E+03 2.000E+05
 9.10356493E-06  29010.9 8.962E-01 1.165E+11 3.448E-01 1.698E+03 2.000E+05
 1.21482825E-05  29011.9 1.196E+00 1.554E+11 3.452E-01 1.700E+03 2.000E+05
 1.62106348E-05  29012.9 1.595E+00 2.072E+11 3.457E-01 1.704E+03 2.000E+05
 2.16258446E-05  29013.9 2.128E+00 2.762E+11 3.464E-01 1.708E+03 2.000E+05
 2.88354371E-05  29014.9 2.836E+00 3.679E+11 3.472E-01 1.715E+03 2.000E+05
 3.84247251E-05  29015.9 3.779E+00 4.897E+11 3.483E-01 1.724E+03 2.000E+05
 5.11659437E-05  29023.7 5.031E+00 6.510E+11 3.498E-01 1.736E+03 2.000E+05
 6.80762828E-05  29067.9 6.692E+00 8.636E+11 3.517E-01 1.750E+03 2.000E+05
 9.04841457E-05  29136.3 8.894E+00 1.143E+12 3.542E-01 1.767E+03 2.000E+05
 1.20120797E-04  29217.6 1.180E+01 1.511E+12 3.575E-01 1.788E+03 2.000E+05
