EFF  42500.  GRAVITY 5.00000 LTE 
ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.89148621E-06  22781.0 4.040E-01 6.453E+10 3.501E-01 1.741E+04 2.000E+05
5.08299887E-06  23761.4 4.200E-01 6.481E+10 3.501E-01 1.581E+04 2.000E+05
6.77058705E-06  23933.7 5.620E-01 8.604E+10 3.514E-01 1.583E+04 2.000E+05
9.01485840E-06  24151.4 7.508E-01 1.139E+11 3.534E-01 1.592E+04 2.000E+05
1.19886992E-05  24387.7 1.001E+00 1.503E+11 3.559E-01 1.613E+04 2.000E+05
1.59244334E-05  24660.9 1.331E+00 1.978E+11 3.588E-01 1.587E+04 2.000E+05
2.11266888E-05  24944.1 1.769E+00 2.599E+11 3.622E-01 1.581E+04 2.000E+05
2.79960543E-05  25242.6 2.349E+00 3.411E+11 3.658E-01 1.537E+04 2.000E+05
3.70670655E-05  25543.0 3.121E+00 4.481E+11 3.694E-01 1.439E+04 2.000E+05
4.90462193E-05  25832.3 4.152E+00 5.896E+11 3.731E-01 1.348E+04 2.000E+05
6.48478198E-05  26118.4 5.524E+00 7.759E+11 3.775E-01 1.292E+04 2.000E+05
8.56513858E-05  26413.1 7.340E+00 1.019E+12 3.828E-01 1.261E+04 2.000E+05
1.12979790E-04  26726.8 9.730E+00 1.336E+12 3.890E-01 1.248E+04 2.000E+05
1.48803549E-04  27070.8 1.287E+01 1.745E+12 3.961E-01 1.219E+04 2.000E+05
