TEFF  45000.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [-0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.84488747E-06  23324.8 3.462E-01 5.427E+10 3.600E-01 2.855E+04 2.000E+05
 4.94322777E-06  24432.7 3.533E-01 5.354E+10 3.600E-01 2.588E+04 2.000E+05
 6.58493406E-06  24618.7 4.746E-01 7.131E+10 3.615E-01 2.636E+04 2.000E+05
 8.76596123E-06  24867.7 6.344E-01 9.436E+10 3.638E-01 2.709E+04 2.000E+05
 1.16530682E-05  25141.2 8.436E-01 1.241E+11 3.668E-01 2.800E+04 2.000E+05
 1.54731605E-05  25473.0 1.123E+00 1.632E+11 3.695E-01 2.571E+04 2.000E+05
 2.05300221E-05  25794.2 1.505E+00 2.160E+11 3.722E-01 2.357E+04 2.000E+05
 2.72213076E-05  26108.6 2.021E+00 2.868E+11 3.753E-01 2.210E+04 2.000E+05
 3.60665737E-05  26426.9 2.715E+00 3.808E+11 3.788E-01 2.104E+04 2.000E+05
 4.77468278E-05  26753.1 3.643E+00 5.049E+11 3.827E-01 2.012E+04 2.000E+05
 6.31508282E-05  27089.1 4.880E+00 6.680E+11 3.873E-01 1.940E+04 2.000E+05
 8.34298815E-05  27440.9 6.519E+00 8.813E+11 3.927E-01 1.901E+04 2.000E+05
 1.10066886E-04  27823.2 8.678E+00 1.158E+12 3.991E-01 1.891E+04 2.000E+05
