TEFF  47500.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [+0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.99530 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.48242604E-06  22720.5 1.439E-01 2.319E+10 3.740E-01 6.790E+04 2.000E+05
 4.78705681E-06  24591.4 1.553E-01 2.362E+10 3.740E-01 5.706E+04 2.000E+05
 6.33291067E-06  24879.7 2.207E-01 3.318E+10 3.770E-01 5.827E+04 2.000E+05
 8.42060614E-06  25228.3 3.078E-01 4.565E+10 3.806E-01 5.829E+04 2.000E+05
 1.11783656E-05  25599.4 4.296E-01 6.281E+10 3.841E-01 5.344E+04 2.000E+05
 1.48215864E-05  25958.9 6.056E-01 8.735E+10 3.878E-01 5.018E+04 2.000E+05
 1.96335534E-05  26328.8 8.517E-01 1.211E+11 3.916E-01 4.759E+04 2.000E+05
 2.59871688E-05  26719.0 1.195E+00 1.675E+11 3.956E-01 4.447E+04 2.000E+05
 3.43708927E-05  27120.2 1.674E+00 2.313E+11 4.000E-01 4.136E+04 2.000E+05
 4.54214321E-05  27526.6 2.337E+00 3.183E+11 4.049E-01 3.885E+04 2.000E+05
 5.99710846E-05  27944.5 3.242E+00 4.350E+11 4.104E-01 3.693E+04 2.000E+05
 7.90873918E-05  28375.8 4.466E+00 5.903E+11 4.170E-01 3.504E+04 2.000E+05
 1.04151740E-04  28817.9 6.125E+00 7.975E+11 4.243E-01 3.258E+04 2.000E+05
