EFF   4750.  GRAVITY 5.00000 LTE 
ITLE SDSC GRID  [-2.0]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.01000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
3.69637836E-03   3348.8 3.696E+02 6.567E+08 3.608E-05 1.394E-03 2.000E+05 0.000E+00 0.000E+00
4.82207037E-03   3366.3 4.822E+02 8.331E+08 4.294E-05 1.454E-03 2.000E+05 0.000E+00 0.000E+00
6.09402881E-03   3379.8 6.094E+02 1.026E+09 5.031E-05 1.525E-03 2.000E+05 0.000E+00 0.000E+00
7.54529464E-03   3395.7 7.545E+02 1.247E+09 5.868E-05 1.584E-03 2.000E+05 0.000E+00 0.000E+00
9.20873583E-03   3412.0 9.209E+02 1.498E+09 6.812E-05 1.644E-03 2.000E+05 0.000E+00 0.000E+00
1.11210228E-02   3430.0 1.112E+03 1.788E+09 7.897E-05 1.681E-03 2.000E+05 0.000E+00 0.000E+00
1.33226288E-02   3448.9 1.332E+03 2.122E+09 9.138E-05 1.706E-03 2.000E+05 0.000E+00 0.000E+00
1.58622117E-02   3467.8 1.586E+03 2.506E+09 1.055E-04 1.738E-03 2.000E+05 0.000E+00 0.000E+00
1.87955068E-02   3488.0 1.880E+03 2.953E+09 1.218E-04 1.740E-03 2.000E+05 0.000E+00 0.000E+00
2.21864661E-02   3507.8 2.219E+03 3.466E+09 1.404E-04 1.752E-03 2.000E+05 0.000E+00 0.000E+00
2.61104074E-02   3528.0 2.611E+03 4.060E+09 1.618E-04 1.770E-03 2.000E+05 0.000E+00 0.000E+00
3.06533799E-02   3548.2 3.065E+03 4.744E+09 1.863E-04 1.798E-03 2.000E+05 0.000E+00 0.000E+00
3.59138647E-02   3569.1 3.592E+03 5.540E+09 2.146E-04 1.812E-03 2.000E+05 0.000E+00 0.000E+00
4.20076769E-02   3589.7 4.201E+03 6.455E+09 2.469E-04 1.835E-03 2.000E+05 0.000E+00 0.000E+00
4.90731500E-02   3610.1 4.908E+03 7.510E+09 2.839E-04 1.869E-03 2.000E+05 0.000E+00 0.000E+00
5.72713762E-02   3630.1 5.727E+03 8.725E+09 3.261E-04 1.918E-03 2.000E+05 0.000E+00 0.000E+00
6.67879619E-02   3650.7 6.679E+03 1.013E+10 3.746E-04 1.955E-03 2.000E+05 0.000E+00 0.000E+00
7.78430740E-02   3670.3 7.785E+03 1.175E+10 4.298E-04 2.007E-03 2.000E+05 0.000E+00 0.000E+00
9.06993350E-02   3689.4 9.070E+03 1.361E+10 4.926E-04 2.075E-03 2.000E+05 0.000E+00 0.000E+00
1.05661825E-01   3707.9 1.057E+04 1.574E+10 5.643E-04 2.158E-03 2.000E+05 0.000E+00 0.000E+00
1.23090220E-01   3725.8 1.231E+04 1.819E+10 6.457E-04 2.251E-03 2.000E+05 0.000E+00 0.000E+00
1.43413096E-01   3742.7 1.434E+04 2.098E+10 7.379E-04 2.367E-03 2.000E+05 0.000E+00 0.000E+00
1.67141476E-01   3758.5 1.671E+04 2.418E+10 8.423E-04 2.509E-03 2.000E+05 0.000E+00 0.000E+00
1.94874388E-01   3773.6 1.949E+04 2.784E+10 9.607E-04 2.679E-03 2.000E+05 0.000E+00 0.000E+00
