EFF  50000.  GRAVITY 5.00000 LTE
ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.69103618E-06  33591.7 4.493E-01 5.051E+10 3.445E-01 4.186E+03 2.000E+05
5.17484847E-06  33592.7 4.957E-01 5.571E+10 3.445E-01 4.186E+03 2.000E+05
6.89225460E-06  33593.7 6.602E-01 7.420E+10 3.447E-01 4.195E+03 2.000E+05
9.18696617E-06  33594.7 8.800E-01 9.890E+10 3.450E-01 4.207E+03 2.000E+05
1.22433203E-05  33595.7 1.173E+00 1.318E+11 3.453E-01 4.219E+03 2.000E+05
1.63143843E-05  33596.7 1.563E+00 1.756E+11 3.456E-01 4.230E+03 2.000E+05
2.17361696E-05  33597.7 2.082E+00 2.339E+11 3.461E-01 4.245E+03 2.000E+05
2.89556371E-05  33598.7 2.773E+00 3.116E+11 3.467E-01 4.263E+03 2.000E+05
3.85639116E-05  33613.8 3.693E+00 4.147E+11 3.475E-01 4.281E+03 2.000E+05
5.13450882E-05  33681.3 4.916E+00 5.510E+11 3.485E-01 4.300E+03 2.000E+05
6.83361002E-05  33741.3 6.542E+00 7.318E+11 3.497E-01 4.323E+03 2.000E+05
9.09054382E-05  33815.9 8.701E+00 9.711E+11 3.512E-01 4.351E+03 2.000E+05
1.20854064E-04  33892.9 1.157E+01 1.288E+12 3.531E-01 4.385E+03 2.000E+05
1.60543229E-04  33974.2 1.536E+01 1.706E+12 3.556E-01 4.426E+03 2.000E+05
