TEFF   6000.  GRAVITY 1.00000 LTE 
TITLE SDSC GRID  [-0.3]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.28891646E-03   3770.9 1.288E-02 4.168E+06 1.035E-04 5.744E-03 2.000E+05 0.000E+00 0.000E+00
 1.72729102E-03   3781.9 1.726E-02 5.226E+06 9.945E-05 5.760E-03 2.000E+05 0.000E+00 0.000E+00
 2.33506145E-03   3793.6 2.334E-02 6.612E+06 9.572E-05 5.723E-03 2.000E+05 0.000E+00 0.000E+00
 3.17466743E-03   3807.0 3.173E-02 8.463E+06 9.268E-05 5.687E-03 2.000E+05 0.000E+00 0.000E+00
 4.32888683E-03   3822.2 4.326E-02 1.093E+07 9.030E-05 5.696E-03 2.000E+05 0.000E+00 0.000E+00
 5.90226378E-03   3839.6 5.899E-02 1.424E+07 8.868E-05 5.694E-03 2.000E+05 0.000E+00 0.000E+00
 8.02990561E-03   3859.2 8.025E-02 1.866E+07 8.778E-05 5.671E-03 2.000E+05 0.000E+00 0.000E+00
 1.08845897E-02   3881.0 1.088E-01 2.457E+07 8.757E-05 5.633E-03 2.000E+05 0.000E+00 0.000E+00
 1.46853537E-02   3904.7 1.468E-01 3.244E+07 8.800E-05 5.597E-03 2.000E+05 0.000E+00 0.000E+00
 1.97125309E-02   3929.9 1.970E-01 4.287E+07 8.898E-05 5.523E-03 2.000E+05 0.000E+00 0.000E+00
 2.63233905E-02   3956.5 2.631E-01 5.662E+07 9.046E-05 5.416E-03 2.000E+05 0.000E+00 0.000E+00
 3.49741054E-02   3983.9 3.495E-01 7.467E+07 9.240E-05 5.309E-03 2.000E+05 0.000E+00 0.000E+00
 4.62413994E-02   4011.7 4.621E-01 9.814E+07 9.482E-05 5.280E-03 2.000E+05 0.000E+00 0.000E+00
 6.08351245E-02   4040.9 6.080E-01 1.290E+08 9.793E-05 5.237E-03 2.000E+05 0.000E+00 0.000E+00
 7.96140346E-02   4071.1 7.957E-01 1.692E+08 1.018E-04 5.173E-03 2.000E+05 0.000E+00 0.000E+00
 1.03628946E-01   4102.3 1.036E+00 2.216E+08 1.065E-04 5.097E-03 2.000E+05 0.000E+00 0.000E+00
 1.34146180E-01   4134.1 1.341E+00 2.894E+08 1.121E-04 5.046E-03 2.000E+05 0.000E+00 0.000E+00
 1.72671395E-01   4166.7 1.726E+00 3.769E+08 1.188E-04 4.973E-03 2.000E+05 0.000E+00 0.000E+00
 2.20955042E-01   4199.7 2.208E+00 4.891E+08 1.268E-04 4.936E-03 2.000E+05 0.000E+00 0.000E+00
 2.81009331E-01   4233.4 2.809E+00 6.328E+08 1.365E-04 4.896E-03 2.000E+05 0.000E+00 0.000E+00
 3.55136978E-01   4267.7 3.549E+00 8.158E+08 1.480E-04 4.871E-03 2.000E+05 0.000E+00 0.000E+00
 4.45933028E-01   4302.7 4.457E+00 1.048E+09 1.617E-04 4.856E-03 2.000E+05 0.000E+00 0.000E+00
 5.56333997E-01   4338.0 5.560E+00 1.341E+09 1.780E-04 4.829E-03 2.000E+05 0.000E+00 0.000E+00
