TEFF   6000.  GRAVITY 2.50000 LTE
TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 2.63205467E-04   3416.1 8.319E-02 1.851E+08 5.066E-04 1.532E-01 2.000E+05 0.000E+00 0.000E+00
 3.49610826E-04   3440.7 1.105E-01 2.428E+08 5.228E-04 1.624E-01 2.000E+05 0.000E+00 0.000E+00
 4.61018921E-04   3471.2 1.457E-01 3.169E+08 5.419E-04 1.647E-01 2.000E+05 0.000E+00 0.000E+00
 6.04404166E-04   3507.4 1.910E-01 4.122E+08 5.613E-04 1.582E-01 2.000E+05 0.000E+00 0.000E+00
 7.88382614E-04   3542.5 2.492E-01 5.332E+08 5.851E-04 1.526E-01 2.000E+05 0.000E+00 0.000E+00
 1.02293261E-03   3577.1 3.233E-01 6.861E+08 6.139E-04 1.489E-01 2.000E+05 0.000E+00 0.000E+00
 1.32054921E-03   3612.7 4.174E-01 8.786E+08 6.458E-04 1.448E-01 2.000E+05 0.000E+00 0.000E+00
 1.69738845E-03   3649.0 5.365E-01 1.121E+09 6.808E-04 1.404E-01 2.000E+05 0.000E+00 0.000E+00
 2.17383940E-03   3685.4 6.871E-01 1.424E+09 7.189E-04 1.353E-01 2.000E+05 0.000E+00 0.000E+00
 2.77317025E-03   3720.2 8.765E-01 1.802E+09 7.649E-04 1.320E-01 2.000E+05 0.000E+00 0.000E+00
 3.52208602E-03   3755.0 1.113E+00 2.270E+09 8.183E-04 1.291E-01 2.000E+05 0.000E+00 0.000E+00
 4.45305066E-03   3789.9 1.408E+00 2.847E+09 8.799E-04 1.269E-01 2.000E+05 0.000E+00 0.000E+00
 5.60681484E-03   3825.7 1.772E+00 3.556E+09 9.473E-04 1.242E-01 2.000E+05 0.000E+00 0.000E+00
 7.03354120E-03   3861.4 2.223E+00 4.427E+09 1.024E-03 1.211E-01 2.000E+05 0.000E+00 0.000E+00
 8.78754350E-03   3896.8 2.778E+00 5.488E+09 1.114E-03 1.183E-01 2.000E+05 0.000E+00 0.000E+00
 1.09311243E-02   3932.0 3.455E+00 6.775E+09 1.218E-03 1.156E-01 2.000E+05 0.000E+00 0.000E+00
 1.35396999E-02   3967.2 4.280E+00 8.328E+09 1.337E-03 1.135E-01 2.000E+05 0.000E+00 0.000E+00
 1.67050708E-02   4002.3 5.281E+00 1.020E+10 1.471E-03 1.116E-01 2.000E+05 0.000E+00 0.000E+00
 2.05391322E-02   4037.4 6.493E+00 1.245E+10 1.622E-03 1.096E-01 2.000E+05 0.000E+00 0.000E+00
 2.51650027E-02   4072.4 7.955E+00 1.514E+10 1.797E-03 1.078E-01 2.000E+05 0.000E+00 0.000E+00
 3.07178914E-02   4107.1 9.710E+00 1.834E+10 2.000E-03 1.061E-01 2.000E+05 0.000E+00 0.000E+00
 3.73669527E-02   4141.7 1.181E+01 2.215E+10 2.228E-03 1.047E-01 2.000E+05 0.000E+00 0.000E+00
 4.53120371E-02   4176.3 1.432E+01 2.667E+10 2.491E-03 1.039E-01 2.000E+05 0.000E+00 0.000E+00
