EFF   6500.  GRAVITY 4.50000 LTE 
ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
1.26481905E-04   5000.8 4.000E+00 9.454E+09 1.054E-03 1.189E-02 2.000E+05 0.000E+00 0.000E+00
1.69322209E-04   5003.8 5.354E+00 1.105E+10 1.022E-03 1.179E-02 2.000E+05 0.000E+00 0.000E+00
2.27807409E-04   5007.3 7.204E+00 1.296E+10 1.006E-03 1.175E-02 2.000E+05 0.000E+00 0.000E+00
3.06341454E-04   5011.4 9.687E+00 1.523E+10 1.008E-03 1.177E-02 2.000E+05 0.000E+00 0.000E+00
4.09920808E-04   5017.2 1.296E+01 1.795E+10 1.030E-03 1.186E-02 2.000E+05 0.000E+00 0.000E+00
5.43931660E-04   5023.7 1.720E+01 2.111E+10 1.070E-03 1.201E-02 2.000E+05 0.000E+00 0.000E+00
7.14569098E-04   5031.4 2.260E+01 2.479E+10 1.128E-03 1.222E-02 2.000E+05 0.000E+00 0.000E+00
9.29187923E-04   5039.2 2.938E+01 2.898E+10 1.202E-03 1.248E-02 2.000E+05 0.000E+00 0.000E+00
1.19636961E-03   5047.9 3.783E+01 3.380E+10 1.294E-03 1.281E-02 2.000E+05 0.000E+00 0.000E+00
1.52564586E-03   5057.9 4.825E+01 3.938E+10 1.407E-03 1.321E-02 2.000E+05 0.000E+00 0.000E+00
1.92797494E-03   5068.7 6.097E+01 4.580E+10 1.540E-03 1.368E-02 2.000E+05 0.000E+00 0.000E+00
2.41955719E-03   5075.6 7.651E+01 5.242E+10 1.675E-03 1.414E-02 2.000E+05 0.000E+00 0.000E+00
3.02228062E-03   5081.6 9.557E+01 5.970E+10 1.824E-03 1.464E-02 2.000E+05 0.000E+00 0.000E+00
3.75742634E-03   5089.4 1.188E+02 6.819E+10 2.001E-03 1.525E-02 2.000E+05 0.000E+00 0.000E+00
4.64986763E-03   5097.1 1.470E+02 7.769E+10 2.200E-03 1.593E-02 2.000E+05 0.000E+00 0.000E+00
5.73099151E-03   5105.2 1.812E+02 8.845E+10 2.425E-03 1.669E-02 2.000E+05 0.000E+00 0.000E+00
7.03693699E-03   5113.9 2.225E+02 1.007E+11 2.680E-03 1.756E-02 2.000E+05 0.000E+00 0.000E+00
8.61270745E-03   5122.3 2.724E+02 1.143E+11 2.962E-03 1.850E-02 2.000E+05 0.000E+00 0.000E+00
1.05121712E-02   5131.0 3.324E+02 1.296E+11 3.279E-03 1.957E-02 2.000E+05 0.000E+00 0.000E+00
1.27998719E-02   5139.5 4.048E+02 1.468E+11 3.631E-03 2.074E-02 2.000E+05 0.000E+00 0.000E+00
1.55540725E-02   5148.1 4.919E+02 1.661E+11 4.023E-03 2.205E-02 2.000E+05 0.000E+00 0.000E+00
1.88694935E-02   5156.2 5.967E+02 1.875E+11 4.455E-03 2.348E-02 2.000E+05 0.000E+00 0.000E+00
2.28619422E-02   5164.2 7.230E+02 2.114E+11 4.934E-03 2.507E-02 2.000E+05 0.000E+00 0.000E+00
2.76685930E-02   5172.1 8.750E+02 2.382E+11 5.465E-03 2.683E-02 2.000E+05 0.000E+00 0.000E+00
