EFF   7500.  GRAVITY 0.50000 LTE 
ITLE SDSC GRID  [-2.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  0.003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.84767276E-07   4941.2 7.259E-07 4.960E+05 2.751E-01 1.665E+00 2.000E+05 0.000E+00 0.000E+00
6.47484134E-07   4943.1 9.712E-07 6.588E+05 2.716E-01 1.644E+00 2.000E+05 0.000E+00 0.000E+00
8.67763863E-07   4944.1 1.309E-06 8.793E+05 2.669E-01 1.616E+00 2.000E+05 0.000E+00 0.000E+00
1.16745142E-06   4945.5 1.777E-06 1.179E+06 2.609E-01 1.580E+00 2.000E+05 0.000E+00 0.000E+00
1.57781740E-06   4946.9 2.436E-06 1.589E+06 2.532E-01 1.534E+00 2.000E+05 0.000E+00 0.000E+00
2.14442998E-06   4948.2 3.375E-06 2.153E+06 2.434E-01 1.476E+00 2.000E+05 0.000E+00 0.000E+00
2.93529702E-06   4949.8 4.739E-06 2.933E+06 2.311E-01 1.403E+00 2.000E+05 0.000E+00 0.000E+00
4.05485389E-06   4950.9 6.760E-06 4.020E+06 2.160E-01 1.313E+00 2.000E+05 0.000E+00 0.000E+00
5.66771643E-06   4952.5 9.832E-06 5.547E+06 1.982E-01 1.206E+00 2.000E+05 0.000E+00 0.000E+00
8.04175887E-06   4953.5 1.463E-05 7.696E+06 1.774E-01 1.083E+00 2.000E+05 0.000E+00 0.000E+00
1.16195108E-05   4955.8 2.232E-05 1.075E+07 1.553E-01 9.513E-01 2.000E+05 0.000E+00 0.000E+00
1.71586964E-05   4956.8 3.498E-05 1.503E+07 1.318E-01 8.117E-01 2.000E+05 0.000E+00 0.000E+00
2.59357476E-05   4961.6 5.622E-05 2.118E+07 1.102E-01 6.830E-01 2.000E+05 0.000E+00 0.000E+00
4.01229649E-05   4965.0 9.233E-05 2.971E+07 8.982E-02 5.618E-01 2.000E+05 0.000E+00 0.000E+00
6.34586121E-05   4971.1 1.543E-04 4.176E+07 7.258E-02 4.592E-01 2.000E+05 0.000E+00 0.000E+00
1.02057024E-04   4979.5 2.604E-04 5.863E+07 5.844E-02 3.752E-01 2.000E+05 0.000E+00 0.000E+00
1.65770845E-04   4991.6 4.403E-04 8.238E+07 4.741E-02 3.096E-01 2.000E+05 0.000E+00 0.000E+00
2.69678422E-04   5008.3 7.396E-04 1.159E+08 3.909E-02 2.600E-01 2.000E+05 0.000E+00 0.000E+00
4.35699133E-04   5030.6 1.225E-03 1.635E+08 3.302E-02 2.237E-01 2.000E+05 0.000E+00 0.000E+00
6.93794563E-04   5059.3 1.987E-03 2.313E+08 2.874E-02 1.979E-01 2.000E+05 0.000E+00 0.000E+00
1.08300686E-03   5093.9 3.145E-03 3.274E+08 2.579E-02 1.799E-01 2.000E+05 0.000E+00 0.000E+00
1.65276309E-03   5133.8 4.848E-03 4.626E+08 2.380E-02 1.674E-01 2.000E+05 0.000E+00 0.000E+00
2.46632410E-03   5177.1 7.288E-03 6.494E+08 2.244E-02 1.584E-01 2.000E+05 0.000E+00 0.000E+00
3.60747326E-03   5222.1 1.072E-02 9.033E+08 2.147E-02 1.517E-01 2.000E+05 0.000E+00 0.000E+00
