EFF   7750.  GRAVITY 1.50000 LTE 
ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.85379971E-07   5403.6 1.443E-05 9.009E+06 2.747E-01 1.894E+00 2.000E+05 0.000E+00 0.000E+00
6.48176117E-07   5411.7 1.927E-05 1.194E+07 2.717E-01 1.873E+00 2.000E+05 0.000E+00 0.000E+00
8.68105051E-07   5418.3 2.582E-05 1.585E+07 2.677E-01 1.846E+00 2.000E+05 0.000E+00 0.000E+00
1.16623708E-06   5426.0 3.470E-05 2.106E+07 2.629E-01 1.813E+00 2.000E+05 0.000E+00 0.000E+00
1.57199883E-06   5434.4 4.680E-05 2.802E+07 2.571E-01 1.773E+00 2.000E+05 0.000E+00 0.000E+00
2.12667838E-06   5443.5 6.337E-05 3.730E+07 2.502E-01 1.726E+00 2.000E+05 0.000E+00 0.000E+00
2.88904549E-06   5453.0 8.619E-05 4.969E+07 2.421E-01 1.670E+00 2.000E+05 0.000E+00 0.000E+00
3.94387988E-06   5462.5 1.178E-04 6.624E+07 2.325E-01 1.605E+00 2.000E+05 0.000E+00 0.000E+00
5.41529571E-06   5471.5 1.620E-04 8.834E+07 2.212E-01 1.528E+00 2.000E+05 0.000E+00 0.000E+00
7.48958341E-06   5479.3 2.246E-04 1.178E+08 2.081E-01 1.439E+00 2.000E+05 0.000E+00 0.000E+00
1.04510635E-05   5486.3 3.141E-04 1.571E+08 1.931E-01 1.337E+00 2.000E+05 0.000E+00 0.000E+00
1.47387761E-05   5492.8 4.442E-04 2.096E+08 1.766E-01 1.225E+00 2.000E+05 0.000E+00 0.000E+00
2.10391689E-05   5499.3 6.361E-04 2.797E+08 1.592E-01 1.107E+00 2.000E+05 0.000E+00 0.000E+00
3.04319467E-05   5506.4 9.233E-04 3.736E+08 1.414E-01 9.865E-01 2.000E+05 0.000E+00 0.000E+00
4.46426860E-05   5513.4 1.360E-03 4.989E+08 1.237E-01 8.667E-01 2.000E+05 0.000E+00 0.000E+00
6.64657097E-05   5520.5 2.032E-03 6.662E+08 1.067E-01 7.514E-01 2.000E+05 0.000E+00 0.000E+00
1.00455221E-04   5527.3 3.083E-03 8.888E+08 9.078E-02 6.436E-01 2.000E+05 0.000E+00 0.000E+00
1.54087795E-04   5534.0 4.748E-03 1.185E+09 7.629E-02 5.456E-01 2.000E+05 0.000E+00 0.000E+00
2.39618294E-04   5541.0 7.410E-03 1.579E+09 6.352E-02 4.595E-01 2.000E+05 0.000E+00 0.000E+00
3.77095661E-04   5548.3 1.170E-02 2.102E+09 5.253E-02 3.856E-01 2.000E+05 0.000E+00 0.000E+00
5.99773445E-04   5554.7 1.866E-02 2.790E+09 4.310E-02 3.229E-01 2.000E+05 0.000E+00 0.000E+00
9.61470196E-04   5563.4 2.999E-02 3.713E+09 3.545E-02 2.725E-01 2.000E+05 0.000E+00 0.000E+00
1.54360473E-03   5577.1 4.825E-02 4.980E+09 2.959E-02 2.341E-01 2.000E+05 0.000E+00 0.000E+00
2.46619874E-03   5595.2 7.723E-02 6.703E+09 2.511E-02 2.052E-01 2.000E+05 0.000E+00 0.000E+00
