TEFF   8000.  GRAVITY 1.00000 LTE
TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 9.55963518E-06   4453.3 7.995E-05 5.918E+06 1.395E-02 1.637E+00 2.000E+05 0.000E+00 0.000E+00
 1.28626606E-05   4469.3 1.076E-04 7.375E+06 1.298E-02 1.636E+00 2.000E+05 0.000E+00 0.000E+00
 1.75666501E-05   4490.4 1.471E-04 9.441E+06 1.224E-02 1.565E+00 2.000E+05 0.000E+00 0.000E+00
 2.42070704E-05   4514.2 2.034E-04 1.227E+07 1.159E-02 1.470E+00 2.000E+05 0.000E+00 0.000E+00
 3.35673334E-05   4539.6 2.837E-04 1.609E+07 1.099E-02 1.376E+00 2.000E+05 0.000E+00 0.000E+00
 4.67431008E-05   4565.2 3.980E-04 2.117E+07 1.040E-02 1.287E+00 2.000E+05 0.000E+00 0.000E+00
 6.53321925E-05   4590.9 5.607E-04 2.789E+07 9.815E-03 1.210E+00 2.000E+05 0.000E+00 0.000E+00
 9.16140707E-05   4616.6 7.926E-04 3.681E+07 9.251E-03 1.148E+00 2.000E+05 0.000E+00 0.000E+00
 1.28776574E-04   4643.3 1.123E-03 4.872E+07 8.735E-03 1.098E+00 2.000E+05 0.000E+00 0.000E+00
 1.81097389E-04   4671.9 1.590E-03 6.484E+07 8.302E-03 1.056E+00 2.000E+05 0.000E+00 0.000E+00
 2.54126802E-04   4703.4 2.244E-03 8.686E+07 7.973E-03 1.018E+00 2.000E+05 0.000E+00 0.000E+00
 3.54901639E-04   4738.2 3.151E-03 1.170E+08 7.749E-03 9.792E-01 2.000E+05 0.000E+00 0.000E+00
 4.92306251E-04   4775.9 4.394E-03 1.583E+08 7.621E-03 9.388E-01 2.000E+05 0.000E+00 0.000E+00
 6.77586585E-04   4816.2 6.077E-03 2.145E+08 7.573E-03 8.962E-01 2.000E+05 0.000E+00 0.000E+00
 9.25216891E-04   4858.5 8.337E-03 2.903E+08 7.583E-03 8.525E-01 2.000E+05 0.000E+00 0.000E+00
 1.25375455E-03   4902.0 1.135E-02 3.920E+08 7.647E-03 8.145E-01 2.000E+05 0.000E+00 0.000E+00
 1.68672752E-03   4946.5 1.533E-02 5.273E+08 7.759E-03 7.850E-01 2.000E+05 0.000E+00 0.000E+00
 2.25511209E-03   4991.3 2.058E-02 7.056E+08 7.888E-03 7.581E-01 2.000E+05 0.000E+00 0.000E+00
 2.99974011E-03   5036.6 2.747E-02 9.407E+08 8.040E-03 7.352E-01 2.000E+05 0.000E+00 0.000E+00
 3.97227262E-03   5083.0 3.649E-02 1.251E+09 8.224E-03 7.158E-01 2.000E+05 0.000E+00 0.000E+00
 5.23712157E-03   5130.7 4.824E-02 1.663E+09 8.452E-03 6.990E-01 2.000E+05 0.000E+00 0.000E+00
 6.87353301E-03   5180.1 6.348E-02 2.208E+09 8.736E-03 6.841E-01 2.000E+05 0.000E+00 0.000E+00
 8.97861206E-03   5231.3 8.310E-02 2.931E+09 9.080E-03 6.700E-01 2.000E+05 0.000E+00 0.000E+00
