TEFF   8000.  GRAVITY 2.50000 LTE
TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.24761335E-07   5637.4 1.649E-04 9.447E+07 2.541E-01 2.013E+00 2.000E+05 0.000E+00 0.000E+00
 7.02384109E-07   5644.8 2.207E-04 1.242E+08 2.467E-01 1.955E+00 2.000E+05 0.000E+00 0.000E+00
 9.47168623E-07   5653.1 2.976E-04 1.638E+08 2.379E-01 1.888E+00 2.000E+05 0.000E+00 0.000E+00
 1.28661709E-06   5663.5 4.044E-04 2.166E+08 2.281E-01 1.812E+00 2.000E+05 0.000E+00 0.000E+00
 1.76068413E-06   5676.0 5.534E-04 2.873E+08 2.173E-01 1.729E+00 2.000E+05 0.000E+00 0.000E+00
 2.42646397E-06   5690.2 7.628E-04 3.819E+08 2.057E-01 1.639E+00 2.000E+05 0.000E+00 0.000E+00
 3.36847474E-06   5704.9 1.059E-03 5.081E+08 1.931E-01 1.541E+00 2.000E+05 0.000E+00 0.000E+00
 4.71369841E-06   5719.4 1.483E-03 6.763E+08 1.794E-01 1.435E+00 2.000E+05 0.000E+00 0.000E+00
 6.65673445E-06   5732.6 2.094E-03 8.996E+08 1.646E-01 1.321E+00 2.000E+05 0.000E+00 0.000E+00
 9.49938465E-06   5745.1 2.990E-03 1.196E+09 1.491E-01 1.202E+00 2.000E+05 0.000E+00 0.000E+00
 1.37097164E-05   5757.4 4.316E-03 1.590E+09 1.336E-01 1.083E+00 2.000E+05 0.000E+00 0.000E+00
 2.00088818E-05   5770.7 6.302E-03 2.116E+09 1.185E-01 9.677E-01 2.000E+05 0.000E+00 0.000E+00
 2.95347570E-05   5782.4 9.306E-03 2.809E+09 1.038E-01 8.549E-01 2.000E+05 0.000E+00 0.000E+00
 4.42323753E-05   5787.7 1.394E-02 3.692E+09 8.863E-02 7.409E-01 2.000E+05 0.000E+00 0.000E+00
 6.73609045E-05   5792.1 2.124E-02 4.851E+09 7.468E-02 6.375E-01 2.000E+05 0.000E+00 0.000E+00
 1.04238213E-04   5795.1 3.288E-02 6.360E+09 6.209E-02 5.451E-01 2.000E+05 0.000E+00 0.000E+00
 1.63330521E-04   5801.5 5.154E-02 8.387E+09 5.173E-02 4.694E-01 2.000E+05 0.000E+00 0.000E+00
 2.58286216E-04   5806.5 8.152E-02 1.101E+10 4.280E-02 4.050E-01 2.000E+05 0.000E+00 0.000E+00
 4.10409542E-04   5816.7 1.296E-01 1.456E+10 3.587E-02 3.560E-01 2.000E+05 0.000E+00 0.000E+00
 6.50628327E-04   5831.0 2.055E-01 1.932E+10 3.052E-02 3.192E-01 2.000E+05 0.000E+00 0.000E+00
 1.02325637E-03   5850.3 3.232E-01 2.573E+10 2.653E-02 2.933E-01 2.000E+05 0.000E+00 0.000E+00
 1.58468103E-03   5878.7 5.006E-01 3.455E+10 2.390E-02 2.780E-01 2.000E+05 0.000E+00 0.000E+00
 2.39959200E-03   5915.7 7.580E-01 4.663E+10 2.238E-02 2.719E-01 2.000E+05 0.000E+00 0.000E+00
