TEFF   8250.  GRAVITY 1.50000 LTE 
TITLE SDSC GRID  [-3.0]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.66069048E-07   5760.1 1.353E-05 8.083E+06 2.861E-01 2.599E+00 2.000E+05 0.000E+00 0.000E+00
 6.21638561E-07   5767.6 1.804E-05 1.076E+07 2.857E-01 2.594E+00 2.000E+05 0.000E+00 0.000E+00
 8.29491953E-07   5772.5 2.408E-05 1.433E+07 2.850E-01 2.588E+00 2.000E+05 0.000E+00 0.000E+00
 1.10736300E-06   5778.8 3.215E-05 1.908E+07 2.842E-01 2.580E+00 2.000E+05 0.000E+00 0.000E+00
 1.47909419E-06   5785.3 4.294E-05 2.541E+07 2.832E-01 2.569E+00 2.000E+05 0.000E+00 0.000E+00
 1.97684022E-06   5791.6 5.741E-05 3.384E+07 2.819E-01 2.557E+00 2.000E+05 0.000E+00 0.000E+00
 2.64411057E-06   5797.8 7.681E-05 4.509E+07 2.802E-01 2.541E+00 2.000E+05 0.000E+00 0.000E+00
 3.54003924E-06   5803.5 1.029E-04 6.007E+07 2.781E-01 2.521E+00 2.000E+05 0.000E+00 0.000E+00
 4.74544329E-06   5808.7 1.380E-04 8.005E+07 2.753E-01 2.496E+00 2.000E+05 0.000E+00 0.000E+00
 6.37151122E-06   5813.6 1.854E-04 1.067E+08 2.718E-01 2.464E+00 2.000E+05 0.000E+00 0.000E+00
 8.57244265E-06   5818.2 2.496E-04 1.422E+08 2.672E-01 2.424E+00 2.000E+05 0.000E+00 0.000E+00
 1.15637203E-05   5823.3 3.370E-04 1.896E+08 2.616E-01 2.375E+00 2.000E+05 0.000E+00 0.000E+00
 1.56494970E-05   5828.6 4.566E-04 2.528E+08 2.547E-01 2.315E+00 2.000E+05 0.000E+00 0.000E+00
 2.12658267E-05   5833.7 6.214E-04 3.371E+08 2.463E-01 2.241E+00 2.000E+05 0.000E+00 0.000E+00
 2.90454711E-05   5839.1 8.504E-04 4.496E+08 2.362E-01 2.153E+00 2.000E+05 0.000E+00 0.000E+00
 3.99149549E-05   5845.4 1.171E-03 5.999E+08 2.244E-01 2.051E+00 2.000E+05 0.000E+00 0.000E+00
 5.52465492E-05   5852.6 1.626E-03 8.008E+08 2.112E-01 1.937E+00 2.000E+05 0.000E+00 0.000E+00
 7.70968954E-05   5860.8 2.276E-03 1.070E+09 1.966E-01 1.810E+00 2.000E+05 0.000E+00 0.000E+00
 1.08585836E-04   5870.0 3.217E-03 1.429E+09 1.809E-01 1.675E+00 2.000E+05 0.000E+00 0.000E+00
 1.54427321E-04   5881.2 4.593E-03 1.912E+09 1.650E-01 1.537E+00 2.000E+05 0.000E+00 0.000E+00
 2.21906765E-04   5892.4 6.628E-03 2.555E+09 1.487E-01 1.396E+00 2.000E+05 0.000E+00 0.000E+00
 3.21770159E-04   5909.2 9.653E-03 3.430E+09 1.339E-01 1.269E+00 2.000E+05 0.000E+00 0.000E+00
 4.71209356E-04   5920.4 1.420E-02 4.567E+09 1.182E-01 1.138E+00 2.000E+05 0.000E+00 0.000E+00
