TEFF   8500.  GRAVITY 1.00000 LTE 
TITLE SDSC GRID  [+0.2]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.58490 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 6.33811256E-07   4754.6 1.785E-06 1.093E+06 2.104E-01 7.184E+00 2.000E+05 0.000E+00 0.000E+00
 8.48322787E-07   4776.9 2.398E-06 1.436E+06 2.043E-01 7.093E+00 2.000E+05 0.000E+00 0.000E+00
 1.14682251E-06   4789.4 3.291E-06 1.897E+06 1.931E-01 6.928E+00 2.000E+05 0.000E+00 0.000E+00
 1.56674627E-06   4810.2 4.615E-06 2.565E+06 1.836E-01 6.762E+00 2.000E+05 0.000E+00 0.000E+00
 2.15714586E-06   4834.7 6.585E-06 3.520E+06 1.743E-01 6.572E+00 2.000E+05 0.000E+00 0.000E+00
 2.98517336E-06   4864.0 9.515E-06 4.893E+06 1.660E-01 6.360E+00 2.000E+05 0.000E+00 0.000E+00
 4.14141685E-06   4897.9 1.387E-05 6.872E+06 1.589E-01 6.123E+00 2.000E+05 0.000E+00 0.000E+00
 5.74719409E-06   4936.0 2.031E-05 9.725E+06 1.530E-01 5.859E+00 2.000E+05 0.000E+00 0.000E+00
 7.96588401E-06   4977.2 2.983E-05 1.383E+07 1.480E-01 5.569E+00 2.000E+05 0.000E+00 0.000E+00
 1.10211060E-05   5020.5 4.386E-05 1.970E+07 1.434E-01 5.260E+00 2.000E+05 0.000E+00 0.000E+00
 1.52238536E-05   5064.7 6.448E-05 2.804E+07 1.390E-01 4.945E+00 2.000E+05 0.000E+00 0.000E+00
 2.10130746E-05   5108.8 9.469E-05 3.980E+07 1.344E-01 4.637E+00 2.000E+05 0.000E+00 0.000E+00
 2.90117158E-05   5152.2 1.388E-04 5.625E+07 1.295E-01 4.352E+00 2.000E+05 0.000E+00 0.000E+00
 4.00955949E-05   5195.2 2.029E-04 7.911E+07 1.245E-01 4.097E+00 2.000E+05 0.000E+00 0.000E+00
 5.54722905E-05   5238.5 2.956E-04 1.108E+08 1.197E-01 3.866E+00 2.000E+05 0.000E+00 0.000E+00
 7.67848904E-05   5282.7 4.288E-04 1.546E+08 1.153E-01 3.645E+00 2.000E+05 0.000E+00 0.000E+00
 1.06284646E-04   5327.4 6.196E-04 2.150E+08 1.111E-01 3.431E+00 2.000E+05 0.000E+00 0.000E+00
 1.47123969E-04   5371.9 8.923E-04 2.975E+08 1.069E-01 3.226E+00 2.000E+05 0.000E+00 0.000E+00
 2.03809834E-04   5415.3 1.282E-03 4.094E+08 1.025E-01 3.029E+00 2.000E+05 0.000E+00 0.000E+00
 2.82764709E-04   5458.1 1.840E-03 5.610E+08 9.804E-02 2.859E+00 2.000E+05 0.000E+00 0.000E+00
 3.92929450E-04   5501.0 2.635E-03 7.665E+08 9.371E-02 2.716E+00 2.000E+05 0.000E+00 0.000E+00
 5.46385045E-04   5545.4 3.763E-03 1.046E+09 8.989E-02 2.597E+00 2.000E+05 0.000E+00 0.000E+00
 7.58934914E-04   5592.6 5.348E-03 1.427E+09 8.687E-02 2.497E+00 2.000E+05 0.000E+00 0.000E+00
