EFF   8500.  GRAVITY 1.50000 LTE 
ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
8.51936556E-07   4965.0 2.394E-05 1.149E+07 1.565E-01 3.526E+00 2.000E+05 0.000E+00 0.000E+00
1.14728443E-06   4976.3 3.225E-05 1.463E+07 1.447E-01 3.411E+00 2.000E+05 0.000E+00 0.000E+00
1.58012633E-06   4980.6 4.450E-05 1.863E+07 1.294E-01 3.258E+00 2.000E+05 0.000E+00 0.000E+00
2.22362855E-06   4992.5 6.279E-05 2.427E+07 1.164E-01 3.126E+00 2.000E+05 0.000E+00 0.000E+00
3.18455508E-06   5006.2 9.024E-05 3.194E+07 1.041E-01 2.994E+00 2.000E+05 0.000E+00 0.000E+00
4.61311624E-06   5025.7 1.312E-04 4.264E+07 9.374E-02 2.877E+00 2.000E+05 0.000E+00 0.000E+00
6.71782525E-06   5050.0 1.919E-04 5.748E+07 8.525E-02 2.769E+00 2.000E+05 0.000E+00 0.000E+00
9.77795187E-06   5080.5 2.803E-04 7.826E+07 7.884E-02 2.670E+00 2.000E+05 0.000E+00 0.000E+00
1.41499196E-05   5116.5 4.071E-04 1.072E+08 7.421E-02 2.574E+00 2.000E+05 0.000E+00 0.000E+00
2.02871289E-05   5157.6 5.857E-04 1.474E+08 7.108E-02 2.478E+00 2.000E+05 0.000E+00 0.000E+00
2.87618731E-05   5202.5 8.331E-04 2.026E+08 6.911E-02 2.377E+00 2.000E+05 0.000E+00 0.000E+00
4.03206099E-05   5249.9 1.172E-03 2.775E+08 6.788E-02 2.272E+00 2.000E+05 0.000E+00 0.000E+00
5.59640749E-05   5298.2 1.632E-03 3.778E+08 6.703E-02 2.162E+00 2.000E+05 0.000E+00 0.000E+00
7.70705432E-05   5346.4 2.255E-03 5.108E+08 6.627E-02 2.052E+00 2.000E+05 0.000E+00 0.000E+00
1.05575789E-04   5393.5 3.099E-03 6.855E+08 6.534E-02 1.945E+00 2.000E+05 0.000E+00 0.000E+00
1.44203125E-04   5439.3 4.248E-03 9.141E+08 6.418E-02 1.845E+00 2.000E+05 0.000E+00 0.000E+00
1.96724380E-04   5484.4 5.814E-03 1.214E+09 6.287E-02 1.756E+00 2.000E+05 0.000E+00 0.000E+00
2.68238456E-04   5529.8 7.953E-03 1.610E+09 6.158E-02 1.674E+00 2.000E+05 0.000E+00 0.000E+00
3.65545936E-04   5576.0 1.087E-02 2.134E+09 6.040E-02 1.600E+00 2.000E+05 0.000E+00 0.000E+00
4.97683834E-04   5623.0 1.484E-02 2.827E+09 5.937E-02 1.534E+00 2.000E+05 0.000E+00 0.000E+00
6.76970698E-04   5670.0 2.024E-02 3.735E+09 5.833E-02 1.473E+00 2.000E+05 0.000E+00 0.000E+00
9.20512102E-04   5716.3 2.759E-02 4.919E+09 5.721E-02 1.418E+00 2.000E+05 0.000E+00 0.000E+00
1.25192209E-03   5762.2 3.761E-02 6.461E+09 5.603E-02 1.371E+00 2.000E+05 0.000E+00 0.000E+00
1.70302051E-03   5808.5 5.127E-02 8.481E+09 5.494E-02 1.331E+00 2.000E+05 0.000E+00 0.000E+00
