TEFF   8500.  GRAVITY 1.50000 LTE
TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.64780307E-07   5969.6 1.333E-05 7.702E+06 2.869E-01 2.941E+00 2.000E+05 0.000E+00 0.000E+00
 6.19835597E-07   5978.0 1.778E-05 1.025E+07 2.868E-01 2.938E+00 2.000E+05 0.000E+00 0.000E+00
 8.26734588E-07   5984.6 2.371E-05 1.366E+07 2.866E-01 2.935E+00 2.000E+05 0.000E+00 0.000E+00
 1.10286442E-06   5992.0 3.164E-05 1.819E+07 2.863E-01 2.931E+00 2.000E+05 0.000E+00 0.000E+00
 1.47147350E-06   6000.0 4.221E-05 2.422E+07 2.860E-01 2.926E+00 2.000E+05 0.000E+00 0.000E+00
 1.96367349E-06   6008.2 5.634E-05 3.225E+07 2.855E-01 2.920E+00 2.000E+05 0.000E+00 0.000E+00
 2.62115069E-06   6016.3 7.521E-05 4.296E+07 2.850E-01 2.912E+00 2.000E+05 0.000E+00 0.000E+00
 3.49983749E-06   6024.1 1.004E-04 5.721E+07 2.843E-01 2.903E+00 2.000E+05 0.000E+00 0.000E+00
 4.67493265E-06   6031.1 1.342E-04 7.621E+07 2.834E-01 2.893E+00 2.000E+05 0.000E+00 0.000E+00
 6.24777965E-06   6037.6 1.794E-04 1.015E+08 2.822E-01 2.879E+00 2.000E+05 0.000E+00 0.000E+00
 8.35540392E-06   6043.4 2.400E-04 1.353E+08 2.806E-01 2.863E+00 2.000E+05 0.000E+00 0.000E+00
 1.11836009E-05   6049.7 3.214E-04 1.802E+08 2.787E-01 2.843E+00 2.000E+05 0.000E+00 0.000E+00
 1.49851093E-05   6056.6 4.308E-04 2.401E+08 2.762E-01 2.818E+00 2.000E+05 0.000E+00 0.000E+00
 2.01056277E-05   6063.9 5.784E-04 3.200E+08 2.732E-01 2.787E+00 2.000E+05 0.000E+00 0.000E+00
 2.70212869E-05   6071.3 7.780E-04 4.263E+08 2.693E-01 2.748E+00 2.000E+05 0.000E+00 0.000E+00
 3.63929253E-05   6078.9 1.049E-03 5.681E+08 2.645E-01 2.701E+00 2.000E+05 0.000E+00 0.000E+00
 4.91450053E-05   6086.8 1.418E-03 7.571E+08 2.587E-01 2.644E+00 2.000E+05 0.000E+00 0.000E+00
 6.65772671E-05   6096.1 1.924E-03 1.009E+09 2.518E-01 2.577E+00 2.000E+05 0.000E+00 0.000E+00
 9.05267333E-05   6107.0 2.620E-03 1.345E+09 2.438E-01 2.498E+00 2.000E+05 0.000E+00 0.000E+00
 1.23608571E-04   6119.6 3.585E-03 1.794E+09 2.347E-01 2.410E+00 2.000E+05 0.000E+00 0.000E+00
 1.69545035E-04   6134.7 4.930E-03 2.393E+09 2.249E-01 2.314E+00 2.000E+05 0.000E+00 0.000E+00
 2.33741784E-04   6150.2 6.815E-03 3.192E+09 2.139E-01 2.207E+00 2.000E+05 0.000E+00 0.000E+00
 3.23334536E-04   6177.4 9.454E-03 4.276E+09 2.048E-01 2.117E+00 2.000E+05 0.000E+00 0.000E+00
