TEFF   9000.  GRAVITY 3.50000 LTE
TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 8.85496541E-06   6178.5 2.807E-02 1.009E+10 2.168E-01 3.078E+00 2.000E+05
 8.88824170E-06   6447.6 2.818E-02 1.237E+10 2.168E-01 2.971E+00 2.000E+05
 1.08487250E-05   6448.6 3.439E-02 1.463E+10 2.082E-01 2.883E+00 2.000E+05
 1.47461365E-05   6449.6 4.674E-02 1.880E+10 1.941E-01 2.751E+00 2.000E+05
 2.03807281E-05   6456.3 6.456E-02 2.436E+10 1.802E-01 2.634E+00 2.000E+05
 2.85500414E-05   6458.7 9.040E-02 3.150E+10 1.645E-01 2.512E+00 2.000E+05
 4.05213613E-05   6465.4 1.282E-01 4.089E+10 1.498E-01 2.399E+00 2.000E+05
 5.81096545E-05   6473.4 1.838E-01 5.306E+10 1.356E-01 2.297E+00 2.000E+05
 8.40772739E-05   6482.1 2.659E-01 6.873E+10 1.224E-01 2.216E+00 2.000E+05
 1.22256959E-04   6497.7 3.866E-01 8.942E+10 1.117E-01 2.164E+00 2.000E+05
 1.77474825E-04   6521.7 5.611E-01 1.169E+11 1.040E-01 2.147E+00 2.000E+05
 2.55723916E-04   6552.0 8.085E-01 1.527E+11 9.888E-02 2.169E+00 2.000E+05
 3.63746620E-04   6593.1 1.150E+00 2.005E+11 9.719E-02 2.236E+00 2.000E+05
 5.06396665E-04   6651.0 1.601E+00 2.657E+11 1.004E-01 2.346E+00 2.000E+05
 6.87986566E-04   6714.1 2.174E+00 3.490E+11 1.063E-01 2.484E+00 2.000E+05
 9.14585912E-04   6778.4 2.891E+00 4.525E+11 1.144E-01 2.640E+00 2.000E+05
 1.19459637E-03   6839.6 3.775E+00 5.771E+11 1.236E-01 2.788E+00 2.000E+05
 1.54269895E-03   6888.6 4.875E+00 7.178E+11 1.313E-01 2.901E+00 2.000E+05
 1.98640921E-03   6920.3 6.277E+00 8.691E+11 1.354E-01 2.974E+00 2.000E+05
 2.56847214E-03   6937.2 8.116E+00 1.032E+12 1.361E-01 3.022E+00 2.000E+05
 3.34694592E-03   6945.2 1.058E+01 1.214E+12 1.349E-01 3.063E+00 2.000E+05
 4.39078039E-03   6953.8 1.387E+01 1.431E+12 1.348E-01 3.118E+00 2.000E+05
 5.77791830E-03   6963.4 1.825E+01 1.690E+12 1.359E-01 3.190E+00 2.000E+05
 7.60017705E-03   6975.4 2.401E+01 2.000E+12 1.388E-01 3.284E+00 2.000E+05
 9.96529825E-03   6989.2 3.148E+01 2.366E+12 1.434E-01 3.395E+00 2.000E+05
 1.29834059E-02   7009.1 4.102E+01 2.812E+12 1.513E-01 3.550E+00 2.000E+05
 1.67819258E-02   7030.1 5.301E+01 3.330E+12 1.610E-01 3.720E+00 2.000E+05
 2.15156739E-02   7053.8 6.797E+01 3.940E+12 1.732E-01 3.922E+00 2.000E+05
 2.73635495E-02   7078.5 8.643E+01 4.645E+12 1.875E-01 4.149E+00 2.000E+05
 3.45231822E-02   7107.0 1.090E+02 5.483E+12 2.054E-01 4.425E+00 2.000E+05
