EFF   9000.  GRAVITY 4.00000 LTE
ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
7.01442615E-06   6100.7 7.314E-02 1.749E+10 1.558E-01 2.598E+00 2.000E+05
9.40043465E-06   6438.9 9.805E-02 3.281E+10 1.558E-01 2.451E+00 2.000E+05
1.29685981E-05   6439.9 1.349E-01 4.123E+10 1.412E-01 2.304E+00 2.000E+05
1.87873418E-05   6440.9 1.939E-01 5.293E+10 1.257E-01 2.176E+00 2.000E+05
2.77431454E-05   6441.9 2.842E-01 6.815E+10 1.108E-01 2.068E+00 2.000E+05
4.12547869E-05   6450.1 4.201E-01 8.829E+10 9.883E-02 1.989E+00 2.000E+05
6.13005959E-05   6461.5 6.214E-01 1.141E+11 8.885E-02 1.933E+00 2.000E+05
9.09576226E-05   6474.5 9.188E-01 1.469E+11 8.061E-02 1.903E+00 2.000E+05
1.33814091E-04   6497.1 1.348E+00 1.903E+11 7.539E-02 1.908E+00 2.000E+05
1.94132007E-04   6526.0 1.952E+00 2.464E+11 7.245E-02 1.944E+00 2.000E+05
2.76512857E-04   6561.9 2.775E+00 3.185E+11 7.182E-02 2.017E+00 2.000E+05
3.85470650E-04   6606.0 3.865E+00 4.117E+11 7.368E-02 2.125E+00 2.000E+05
5.23761792E-04   6662.5 5.247E+00 5.343E+11 7.895E-02 2.269E+00 2.000E+05
6.94039134E-04   6721.3 6.949E+00 6.853E+11 8.620E-02 2.432E+00 2.000E+05
9.00911286E-04   6779.6 9.016E+00 8.671E+11 9.506E-02 2.602E+00 2.000E+05
1.15111370E-03   6832.7 1.152E+01 1.077E+12 1.045E-01 2.760E+00 2.000E+05
1.45714030E-03   6874.9 1.458E+01 1.308E+12 1.129E-01 2.885E+00 2.000E+05
1.83978808E-03   6903.4 1.840E+01 1.552E+12 1.190E-01 2.977E+00 2.000E+05
2.32956361E-03   6920.0 2.330E+01 1.809E+12 1.228E-01 3.046E+00 2.000E+05
2.96699669E-03   6928.7 2.967E+01 2.090E+12 1.253E-01 3.108E+00 2.000E+05
3.79762965E-03   6937.1 3.797E+01 2.417E+12 1.286E-01 3.185E+00 2.000E+05
4.87169718E-03   6947.1 4.871E+01 2.802E+12 1.333E-01 3.280E+00 2.000E+05
6.24637910E-03   6958.7 6.245E+01 3.255E+12 1.396E-01 3.394E+00 2.000E+05
7.98744511E-03   6972.7 7.985E+01 3.787E+12 1.477E-01 3.531E+00 2.000E+05
1.01710581E-02   6988.5 1.017E+02 4.406E+12 1.577E-01 3.689E+00 2.000E+05
1.28760172E-02   7009.8 1.287E+02 5.153E+12 1.711E-01 3.895E+00 2.000E+05
1.61938765E-02   7031.7 1.619E+02 6.008E+12 1.863E-01 4.117E+00 2.000E+05
2.02439592E-02   7055.5 2.024E+02 7.001E+12 2.041E-01 4.373E+00 2.000E+05
2.51620815E-02   7080.7 2.515E+02 8.148E+12 2.246E-01 4.660E+00 2.000E+05
3.11084240E-02   7108.0 3.110E+02 9.484E+12 2.484E-01 4.987E+00 2.000E+05
3.82391970E-02   7140.2 3.822E+02 1.108E+13 2.776E-01 5.400E+00 2.000E+05
