TEFF   9000.  GRAVITY 4.50000 LTE 
TITLE SDSC GRID  [+0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.99530 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.17891230E-04   4954.2 3.726E+00 9.102E+09 1.163E-02 1.366E+01 2.000E+05
 1.53438671E-04   5868.3 4.850E+00 1.117E+11 1.297E-02 9.043E+00 2.000E+05
 1.97400146E-04   5920.5 6.240E+00 1.429E+11 1.425E-02 8.238E+00 2.000E+05
 2.50120762E-04   5970.1 7.907E+00 1.801E+11 1.570E-02 7.973E+00 2.000E+05
 3.13998823E-04   6015.2 9.926E+00 2.232E+11 1.724E-02 7.788E+00 2.000E+05
 3.91568743E-04   6058.7 1.238E+01 2.744E+11 1.898E-02 7.682E+00 2.000E+05
 4.85333894E-04   6101.6 1.534E+01 3.354E+11 2.099E-02 7.614E+00 2.000E+05
 5.98123358E-04   6144.6 1.891E+01 4.083E+11 2.333E-02 7.572E+00 2.000E+05
 7.32991317E-04   6187.9 2.317E+01 4.954E+11 2.609E-02 7.550E+00 2.000E+05
 8.93379207E-04   6231.9 2.824E+01 5.994E+11 2.935E-02 7.547E+00 2.000E+05
 1.08308071E-03   6276.6 3.424E+01 7.234E+11 3.317E-02 7.565E+00 2.000E+05
 1.30642014E-03   6322.1 4.130E+01 8.710E+11 3.765E-02 7.601E+00 2.000E+05
 1.56833135E-03   6368.2 4.958E+01 1.046E+12 4.288E-02 7.641E+00 2.000E+05
 1.87459366E-03   6414.9 5.926E+01 1.253E+12 4.896E-02 7.686E+00 2.000E+05
 2.23186132E-03   6462.0 7.056E+01 1.498E+12 5.601E-02 7.735E+00 2.000E+05
 2.64807438E-03   6509.4 8.372E+01 1.786E+12 6.415E-02 7.789E+00 2.000E+05
 3.13255889E-03   6556.7 9.904E+01 2.122E+12 7.349E-02 7.852E+00 2.000E+05
 3.69652507E-03   6604.0 1.169E+02 2.516E+12 8.421E-02 7.945E+00 2.000E+05
 4.35298246E-03   6650.7 1.376E+02 2.973E+12 9.643E-02 8.068E+00 2.000E+05
 5.11784217E-03   6697.0 1.618E+02 3.504E+12 1.103E-01 8.223E+00 2.000E+05
 6.00958941E-03   6743.1 1.900E+02 4.121E+12 1.261E-01 8.414E+00 2.000E+05
 7.04974138E-03   6789.2 2.229E+02 4.839E+12 1.442E-01 8.643E+00 2.000E+05
 8.26291260E-03   6835.5 2.612E+02 5.675E+12 1.649E-01 8.910E+00 2.000E+05
 9.67778499E-03   6882.1 3.060E+02 6.651E+12 1.886E-01 9.217E+00 2.000E+05
 1.13269933E-02   6929.3 3.581E+02 7.791E+12 2.158E-01 9.589E+00 2.000E+05
 1.32483455E-02   6977.1 4.188E+02 9.122E+12 2.471E-01 1.001E+01 2.000E+05
 1.54857115E-02   7025.5 4.896E+02 1.067E+13 2.830E-01 1.049E+01 2.000E+05
 1.80909108E-02   7074.4 5.719E+02 1.249E+13 3.241E-01 1.104E+01 2.000E+05
 2.11219012E-02   7123.9 6.677E+02 1.460E+13 3.717E-01 1.167E+01 2.000E+05
 2.46463337E-02   7174.3 7.791E+02 1.707E+13 4.264E-01 1.241E+01 2.000E+05
