TEFF   9000.  GRAVITY 4.50000 LTE 
TITLE SDSC GRID  [-0.1]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.79430 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.18902047E-04   5207.4 3.759E+00 1.784E+10 1.502E-02 9.991E+00 2.000E+05
 1.19003561E-04   5921.4 3.763E+00 1.092E+11 1.502E-02 7.009E+00 2.000E+05
 1.55758853E-04   5981.4 4.925E+00 1.430E+11 1.658E-02 6.449E+00 2.000E+05
 2.01240108E-04   6035.5 6.363E+00 1.834E+11 1.821E-02 6.167E+00 2.000E+05
 2.56504533E-04   6084.3 8.110E+00 2.304E+11 1.993E-02 5.967E+00 2.000E+05
 3.23860654E-04   6129.6 1.024E+01 2.856E+11 2.179E-02 5.822E+00 2.000E+05
 4.05984280E-04   6172.8 1.284E+01 3.507E+11 2.387E-02 5.730E+00 2.000E+05
 5.05726143E-04   6214.8 1.599E+01 4.276E+11 2.626E-02 5.676E+00 2.000E+05
 6.26406737E-04   6256.2 1.981E+01 5.187E+11 2.900E-02 5.655E+00 2.000E+05
 7.71699782E-04   6297.7 2.440E+01 6.268E+11 3.220E-02 5.661E+00 2.000E+05
 9.45688181E-04   6339.7 2.990E+01 7.554E+11 3.596E-02 5.688E+00 2.000E+05
 1.15282865E-03   6382.7 3.645E+01 9.086E+11 4.039E-02 5.739E+00 2.000E+05
 1.39805982E-03   6426.7 4.420E+01 1.091E+12 4.561E-02 5.803E+00 2.000E+05
 1.68699612E-03   6471.6 5.334E+01 1.307E+12 5.173E-02 5.873E+00 2.000E+05
 2.02615076E-03   6517.3 6.406E+01 1.563E+12 5.886E-02 5.947E+00 2.000E+05
 2.42311007E-03   6563.5 7.661E+01 1.864E+12 6.712E-02 6.024E+00 2.000E+05
 2.88720888E-03   6609.5 9.129E+01 2.216E+12 7.656E-02 6.104E+00 2.000E+05
 3.42974210E-03   6654.8 1.084E+02 2.624E+12 8.733E-02 6.206E+00 2.000E+05
 4.06456365E-03   6699.2 1.285E+02 3.095E+12 9.944E-02 6.334E+00 2.000E+05
 4.80876742E-03   6742.5 1.520E+02 3.637E+12 1.130E-01 6.489E+00 2.000E+05
 5.68258205E-03   6785.2 1.797E+02 4.262E+12 1.283E-01 6.676E+00 2.000E+05
 6.70968146E-03   6827.2 2.121E+02 4.983E+12 1.455E-01 6.896E+00 2.000E+05
 7.91755512E-03   6869.2 2.503E+02 5.819E+12 1.650E-01 7.152E+00 2.000E+05
 9.33817835E-03   6911.1 2.952E+02 6.787E+12 1.870E-01 7.444E+00 2.000E+05
 1.10083651E-02   6953.5 3.480E+02 7.913E+12 2.122E-01 7.787E+00 2.000E+05
 1.29704913E-02   6996.3 4.101E+02 9.222E+12 2.410E-01 8.178E+00 2.000E+05
 1.52745298E-02   7039.5 4.829E+02 1.074E+13 2.737E-01 8.616E+00 2.000E+05
 1.79795059E-02   7083.0 5.684E+02 1.251E+13 3.109E-01 9.108E+00 2.000E+05
 2.11533333E-02   7127.0 6.688E+02 1.456E+13 3.535E-01 9.670E+00 2.000E+05
 2.48753437E-02   7171.4 7.864E+02 1.693E+13 4.020E-01 1.031E+01 2.000E+05
