TEFF   9000.  GRAVITY 5.00000 LTE
TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.49245276E-04   4615.2 1.492E+01 1.563E+11 9.942E-03 2.457E+01 2.000E+05
 2.30956626E-04   5781.7 2.309E+01 2.398E+11 1.192E-02 1.586E+01 2.000E+05
 2.84859965E-04   5825.7 2.848E+01 2.949E+11 1.362E-02 1.495E+01 2.000E+05
 3.42612390E-04   5871.5 3.425E+01 3.584E+11 1.561E-02 1.485E+01 2.000E+05
 4.09931961E-04   5915.2 4.099E+01 4.319E+11 1.784E-02 1.472E+01 2.000E+05
 4.85637529E-04   5957.3 4.856E+01 5.154E+11 2.032E-02 1.461E+01 2.000E+05
 5.74053499E-04   5999.2 5.740E+01 6.133E+11 2.315E-02 1.450E+01 2.000E+05
 6.76439229E-04   6040.6 6.763E+01 7.272E+11 2.635E-02 1.439E+01 2.000E+05
 7.96056362E-04   6082.2 7.959E+01 8.610E+11 3.001E-02 1.430E+01 2.000E+05
 9.35412628E-04   6123.9 9.353E+01 1.018E+12 3.421E-02 1.422E+01 2.000E+05
 1.09808516E-03   6165.9 1.098E+02 1.202E+12 3.904E-02 1.420E+01 2.000E+05
 1.28747374E-03   6208.6 1.287E+02 1.419E+12 4.471E-02 1.426E+01 2.000E+05
 1.50772385E-03   6252.0 1.508E+02 1.674E+12 5.125E-02 1.434E+01 2.000E+05
 1.76358116E-03   6296.2 1.763E+02 1.975E+12 5.882E-02 1.443E+01 2.000E+05
 2.06058210E-03   6341.3 2.060E+02 2.330E+12 6.758E-02 1.454E+01 2.000E+05
 2.40501116E-03   6387.3 2.405E+02 2.748E+12 7.773E-02 1.466E+01 2.000E+05
 2.80410998E-03   6434.2 2.804E+02 3.241E+12 8.949E-02 1.479E+01 2.000E+05
 3.26604736E-03   6482.1 3.266E+02 3.823E+12 1.031E-01 1.494E+01 2.000E+05
 3.80023297E-03   6530.9 3.800E+02 4.508E+12 1.190E-01 1.517E+01 2.000E+05
 4.41743050E-03   6580.7 4.417E+02 5.315E+12 1.374E-01 1.541E+01 2.000E+05
 5.13000492E-03   6631.4 5.129E+02 6.266E+12 1.587E-01 1.570E+01 2.000E+05
 5.95169608E-03   6682.8 5.951E+02 7.384E+12 1.837E-01 1.606E+01 2.000E+05
 6.89859245E-03   6735.2 6.898E+02 8.699E+12 2.126E-01 1.647E+01 2.000E+05
 7.98964066E-03   6788.6 7.988E+02 1.025E+13 2.461E-01 1.693E+01 2.000E+05
 9.24618098E-03   6842.9 9.245E+02 1.207E+13 2.850E-01 1.745E+01 2.000E+05
 1.06924963E-02   6898.5 1.069E+03 1.422E+13 3.303E-01 1.806E+01 2.000E+05
 1.23553671E-02   6955.5 1.235E+03 1.676E+13 3.832E-01 1.879E+01 2.000E+05
 1.42661247E-02   7013.9 1.426E+03 1.976E+13 4.449E-01 1.960E+01 2.000E+05
 1.64608287E-02   7073.6 1.646E+03 2.330E+13 5.165E-01 2.049E+01 2.000E+05
 1.89796804E-02   7134.6 1.898E+03 2.748E+13 6.009E-01 2.159E+01 2.000E+05
