EFF   9250.  GRAVITY 4.50000 LTE 
ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
5.50099918E-05   5640.9 1.739E+00 3.796E+10 2.712E-02 1.005E+01 2.000E+05
6.32511580E-05   6098.0 1.999E+00 1.141E+11 2.712E-02 7.828E+00 2.000E+05
8.31699187E-05   6154.8 2.629E+00 1.479E+11 2.893E-02 7.474E+00 2.000E+05
1.09358306E-04   6212.2 3.456E+00 1.914E+11 3.114E-02 7.188E+00 2.000E+05
1.41936245E-04   6265.4 4.486E+00 2.435E+11 3.350E-02 6.971E+00 2.000E+05
1.82338883E-04   6315.2 5.763E+00 3.057E+11 3.608E-02 6.813E+00 2.000E+05
2.32367656E-04   6363.3 7.345E+00 3.803E+11 3.900E-02 6.705E+00 2.000E+05
2.93872891E-04   6410.0 9.289E+00 4.695E+11 4.236E-02 6.635E+00 2.000E+05
3.69127304E-04   6456.2 1.167E+01 5.762E+11 4.627E-02 6.600E+00 2.000E+05
4.60712671E-04   6502.2 1.456E+01 7.035E+11 5.083E-02 6.595E+00 2.000E+05
5.71577377E-04   6547.8 1.807E+01 8.549E+11 5.612E-02 6.617E+00 2.000E+05
7.05160079E-04   6593.5 2.229E+01 1.035E+12 6.226E-02 6.665E+00 2.000E+05
8.65248625E-04   6639.5 2.735E+01 1.248E+12 6.944E-02 6.733E+00 2.000E+05
1.05622608E-03   6685.6 3.339E+01 1.500E+12 7.778E-02 6.817E+00 2.000E+05
1.28323990E-03   6731.5 4.057E+01 1.795E+12 8.735E-02 6.915E+00 2.000E+05
1.55273873E-03   6776.4 4.909E+01 2.139E+12 9.812E-02 7.023E+00 2.000E+05
1.87284859E-03   6819.8 5.921E+01 2.535E+12 1.101E-01 7.150E+00 2.000E+05
2.25382861E-03   6861.1 7.125E+01 2.988E+12 1.232E-01 7.304E+00 2.000E+05
2.70836192E-03   6900.6 8.562E+01 3.507E+12 1.376E-01 7.496E+00 2.000E+05
3.25160581E-03   6938.8 1.028E+02 4.102E+12 1.534E-01 7.735E+00 2.000E+05
3.90091387E-03   6976.7 1.233E+02 4.790E+12 1.712E-01 8.024E+00 2.000E+05
4.67642959E-03   7014.3 1.478E+02 5.585E+12 1.912E-01 8.352E+00 2.000E+05
5.60178535E-03   7052.0 1.771E+02 6.507E+12 2.139E-01 8.723E+00 2.000E+05
6.70467917E-03   7089.9 2.120E+02 7.575E+12 2.395E-01 9.137E+00 2.000E+05
8.01716288E-03   7128.2 2.535E+02 8.813E+12 2.685E-01 9.601E+00 2.000E+05
9.57719752E-03   7166.8 3.028E+02 1.025E+13 3.014E-01 1.012E+01 2.000E+05
1.14274954E-02   7206.8 3.613E+02 1.192E+13 3.394E-01 1.071E+01 2.000E+05
1.36177505E-02   7247.4 4.305E+02 1.387E+13 3.825E-01 1.138E+01 2.000E+05
1.62091879E-02   7288.1 5.124E+02 1.612E+13 4.310E-01 1.211E+01 2.000E+05
1.92755103E-02   7329.2 6.094E+02 1.871E+13 4.859E-01 1.295E+01 2.000E+05
2.29020775E-02   7370.7 7.240E+02 2.172E+13 5.481E-01 1.390E+01 2.000E+05
