EFF   9500.  GRAVITY 3.00000 LTE 
ITLE SDSC GRID  [-2.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  0.003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
6.86045701E-06   6595.4 6.826E-03 3.455E+09 2.818E-01 4.975E+00 2.000E+05
6.91916471E-06   6694.6 6.885E-03 3.469E+09 2.818E-01 4.905E+00 2.000E+05
8.42052649E-06   6695.6 8.379E-03 4.201E+09 2.802E-01 4.878E+00 2.000E+05
1.12553894E-05   6703.1 1.120E-02 5.565E+09 2.778E-01 4.850E+00 2.000E+05
1.50702725E-05   6714.7 1.500E-02 7.368E+09 2.752E-01 4.851E+00 2.000E+05
2.02089917E-05   6727.7 2.011E-02 9.748E+09 2.722E-01 4.853E+00 2.000E+05
2.71495568E-05   6738.0 2.702E-02 1.288E+10 2.683E-01 4.860E+00 2.000E+05
3.65548562E-05   6748.6 3.638E-02 1.700E+10 2.636E-01 4.865E+00 2.000E+05
4.93357667E-05   6761.1 4.909E-02 2.240E+10 2.584E-01 4.866E+00 2.000E+05
6.67671580E-05   6772.2 6.644E-02 2.945E+10 2.520E-01 4.875E+00 2.000E+05
9.06653378E-05   6782.5 9.022E-02 3.860E+10 2.446E-01 4.899E+00 2.000E+05
1.23458481E-04   6801.6 1.229E-01 5.062E+10 2.382E-01 4.931E+00 2.000E+05
1.68337825E-04   6824.8 1.675E-01 6.625E+10 2.323E-01 4.977E+00 2.000E+05
2.29549506E-04   6853.3 2.284E-01 8.657E+10 2.277E-01 5.063E+00 2.000E+05
3.12556390E-04   6887.4 3.110E-01 1.129E+11 2.249E-01 5.198E+00 2.000E+05
4.23195701E-04   6937.5 4.211E-01 1.478E+11 2.274E-01 5.356E+00 2.000E+05
5.68050219E-04   6994.4 5.651E-01 1.928E+11 2.334E-01 5.557E+00 2.000E+05
7.54896828E-04   7056.7 7.509E-01 2.501E+11 2.429E-01 5.798E+00 2.000E+05
9.92618264E-04   7123.9 9.872E-01 3.227E+11 2.561E-01 6.028E+00 2.000E+05
1.29366565E-03   7182.0 1.286E+00 4.103E+11 2.685E-01 6.195E+00 2.000E+05
1.68022794E-03   7221.6 1.671E+00 5.129E+11 2.763E-01 6.377E+00 2.000E+05
2.18519779E-03   7247.5 2.172E+00 6.336E+11 2.803E-01 6.597E+00 2.000E+05
2.85173023E-03   7266.1 2.834E+00 7.776E+11 2.824E-01 6.859E+00 2.000E+05
3.73349129E-03   7284.1 3.710E+00 9.523E+11 2.850E-01 7.141E+00 2.000E+05
4.89459728E-03   7304.0 4.863E+00 1.165E+12 2.896E-01 7.451E+00 2.000E+05
6.41335179E-03   7325.0 6.370E+00 1.422E+12 2.962E-01 7.803E+00 2.000E+05
8.38429244E-03   7348.4 8.325E+00 1.733E+12 3.058E-01 8.212E+00 2.000E+05
1.09150525E-02   7375.4 1.083E+01 2.108E+12 3.194E-01 8.677E+00 2.000E+05
1.41237166E-02   7406.9 1.401E+01 2.562E+12 3.380E-01 9.192E+00 2.000E+05
1.81491246E-02   7439.8 1.800E+01 3.100E+12 3.606E-01 9.776E+00 2.000E+05
2.31580827E-02   7474.8 2.296E+01 3.737E+12 3.881E-01 1.046E+01 2.000E+05
