TEFF   9500.  GRAVITY 3.50000 LTE
TITLE SDSC GRID  [+0.5]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   3.16200 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 3.46220972E-05   5115.0 1.084E-01 2.289E+09 4.604E-02 3.129E+01 2.000E+05
 3.80794726E-05   5878.6 1.192E-01 1.588E+10 4.604E-02 2.174E+01 2.000E+05
 5.03708555E-05   5945.0 1.579E-01 2.122E+10 4.831E-02 1.973E+01 2.000E+05
 6.64389494E-05   6004.2 2.084E-01 2.784E+10 4.989E-02 1.854E+01 2.000E+05
 8.72951064E-05   6059.9 2.739E-01 3.612E+10 5.123E-02 1.765E+01 2.000E+05
 1.14409732E-04   6112.9 3.592E-01 4.648E+10 5.242E-02 1.695E+01 2.000E+05
 1.49809108E-04   6164.8 4.706E-01 5.956E+10 5.364E-02 1.641E+01 2.000E+05
 1.95826933E-04   6216.7 6.153E-01 7.611E+10 5.510E-02 1.598E+01 2.000E+05
 2.55354412E-04   6269.7 8.026E-01 9.716E+10 5.700E-02 1.567E+01 2.000E+05
 3.31716143E-04   6324.4 1.043E+00 1.239E+11 5.952E-02 1.545E+01 2.000E+05
 4.28681327E-04   6381.2 1.348E+00 1.579E+11 6.284E-02 1.528E+01 2.000E+05
 5.50465932E-04   6439.9 1.731E+00 2.008E+11 6.707E-02 1.514E+01 2.000E+05
 7.01787350E-04   6500.4 2.208E+00 2.546E+11 7.234E-02 1.502E+01 2.000E+05
 8.87888762E-04   6562.1 2.793E+00 3.214E+11 7.880E-02 1.493E+01 2.000E+05
 1.11469853E-03   6624.9 3.507E+00 4.039E+11 8.657E-02 1.483E+01 2.000E+05
 1.38904729E-03   6688.0 4.371E+00 5.048E+11 9.573E-02 1.474E+01 2.000E+05
 1.71901548E-03   6750.8 5.409E+00 6.270E+11 1.064E-01 1.466E+01 2.000E+05
 2.11431067E-03   6812.7 6.654E+00 7.736E+11 1.186E-01 1.462E+01 2.000E+05
 2.58676442E-03   6873.3 8.141E+00 9.482E+11 1.324E-01 1.462E+01 2.000E+05
 3.15065163E-03   6932.5 9.916E+00 1.155E+12 1.480E-01 1.469E+01 2.000E+05
 3.82310035E-03   6990.6 1.203E+01 1.400E+12 1.655E-01 1.485E+01 2.000E+05
 4.62404917E-03   7047.9 1.455E+01 1.690E+12 1.855E-01 1.509E+01 2.000E+05
 5.57621164E-03   7104.9 1.755E+01 2.032E+12 2.083E-01 1.541E+01 2.000E+05
 6.70582199E-03   7161.5 2.110E+01 2.436E+12 2.344E-01 1.579E+01 2.000E+05
 8.04285889E-03   7218.2 2.531E+01 2.912E+12 2.644E-01 1.627E+01 2.000E+05
 9.62204399E-03   7274.8 3.028E+01 3.472E+12 2.988E-01 1.684E+01 2.000E+05
 1.14835189E-02   7331.7 3.613E+01 4.131E+12 3.383E-01 1.751E+01 2.000E+05
 1.36737833E-02   7388.8 4.302E+01 4.904E+12 3.837E-01 1.828E+01 2.000E+05
 1.62479639E-02   7445.8 5.111E+01 5.807E+12 4.355E-01 1.918E+01 2.000E+05
 1.92705720E-02   7503.0 6.061E+01 6.864E+12 4.949E-01 2.024E+01 2.000E+05
